SQL_Statement,Equivalent_Queries,Equivalent or not,Modification_Method,Original,gpt4,gpt4_type,gpt3.5,gpt3.5_type,llama3,llama3_type,mistralai,mistralai_type,gemini,gemini_type
SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [412].[CG2 unique peps > 1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG2 unique peps > 1].[All Proteins] LEFT JOIN  [412].[CG5 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG5 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG8 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG8 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG11 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG11 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG26 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG26 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG29 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG29 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG32 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG32 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG35 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG35 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG221 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG221 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG224 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG224 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG227 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG227 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG230 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG230 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG242 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG242 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG245 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG245 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG248 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG248 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG251 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG251 unique peps >1].[All Proteins],SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [412].[CG2 unique peps > 1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG2 unique peps > 1].[All Proteins] LEFT JOIN  [412].[CG5 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG5 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG8 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG8 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG11 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG11 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG26 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG26 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG29 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG29 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG32 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG32 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG35 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG35 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG221 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG221 unique peps >1].[All Proteins] OUTER JOIN  [412].[CG224 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG224 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG227 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG227 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG230 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG230 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG242 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG242 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG245 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG245 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG248 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG248 unique peps >1].[All Proteins] LEFT JOIN  [412].[CG251 unique peps >1] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[CG251 unique peps >1].[All Proteins],Not Equivalent,Change_Join_Condition,NO,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition,YES,Change_Join_Condition,NO,Change_Join_Condition
"SELECT  spectrum AS [spectrum56], start_scan AS start_scan56, expect AS expect56, peptide AS peptide56, protein AS protein56 FROM  [412].[table_BactDetection56.pep.txt]","SELECT  spectrum AS [spectrum56], start_scan AS start_scan56, expect AS expect56, peptide AS peptide56, protein AS protein56,protein2 AS protein57 FROM  [412].[table_BactDetection56.pep.txt]",Not Equivalent,Adding_Removing_Select_Column,NO,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column
select * FROM ['[1123].[QDOD'] WHERE  c.school_code BETWEEN 1000 AND  2000,"SELECT * 
FROM (
    SELECT * FROM [1123].[QDOD]
    WHERE c.school_code BETWEEN 1000 AND 2000
) AS subquery;",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested
SELECT  * FROM  [299].[seastar_clc_uniprot_sprot_2.tab]blast Left join [1123].[uniprot-reviewed_wGO_010714]unp on blast.Column3=unp.Entry Where Pathway like 'cell',"SELECT 
    blast.*, 
    unp.*,
    CASE 
        WHEN Pathway LIKE '%cell%' THEN 'Cell-related'
        ELSE 'Not Cell-related'
    END AS PathwayStatus
FROM 
    [299].[seastar_clc_uniprot_sprot_2.tab] blast
LEFT JOIN 
    [1123].[uniprot-reviewed_wGO_010714] unp 
    ON blast.Column3 = unp.Entry
WHERE 
    Pathway LIKE '%cell%'",Equivalent,Case_Statement,YES,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement
select distinct conf_id from [1143].tbl_organizer,"WITH CTE_Organizer AS (
    SELECT conf_id FROM [1143].tbl_organizer
)
SELECT DISTINCT conf_id FROM CTE_Organizer;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
SELECT  TOP 1 * FROM  Paired ORDER BY  [DateTime] DESC,SELECT  TOP 1 * FROM  Paired ORDER BY  [DateTime] ASC,Not Equivalent,Change_Sorting_Limiting,NO,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting
SELECT  MAX(x) FROM (SELECT  NULL AS x UNION ALL SELECT  1 AS x) y,SELECT  MIN(x) FROM (SELECT  NULL AS x UNION ALL SELECT  1 AS x) y,Not Equivalent,Aggregate_Function,NO,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function
"SELECT  clock ,  clock / 10000000 as clock_millions ,  (clock) as log_clock ,  issues,  ticks,  m2issues,  m1issues ,  issues/ticks as issues_per_tick ,  memrefs/ticks as memrefs_per_tick ,  phantoms/ticks as phantoms_per_tick ,  streams/ticks as streams_per_tick FROM  ( SELECT  m1.source as source1,  m2.source as source2 ,  m1.clock as clock ,  cast((m2.clock - m1.clock) as float) as ticks ,  m2.issues as m2issues,  m1.issues as m1issues ,  (m2.issues - m1.issues)  as issues ,  (m2.memrefs - m1.memrefs)  as memrefs ,  (m2.phantoms - m1.phantoms)  as phantoms ,  (m2.streams - m1.streams)  as streams FROM  1314howe.measurement m1 ,  1314howe.measurement m2 WHERE  m2.clock > m1.clock AND  NOT EXISTS ( SELECT  clock FROM  1314howe.measurement m3 WHERE  m1.clock < m3.clock AND  m2.clock > m3.clock ) ) x ORDER BY  clock asc","SELECT  clock ,  clock / 1000000 as clock_millions ,  (clock) as log_clock ,  issues,  ticks,  m2issues,  m1issues ,  issues/ticks as issues_per_tick ,  memrefs/ticks as memrefs_per_tick ,  phantoms/ticks as phantoms_per_tick ,  streams/ticks as streams_per_tick FROM  ( SELECT  m1.source as source1,  m2.source as source2 ,  m1.clock as clock ,  cast((m2.clock - m1.clock) as float) as ticks ,  m2.issues as m2issues,  m1.issues as m1issues ,  (m2.issues - m1.issues)  as issues ,  (m2.memrefs - m1.memrefs)  as memrefs ,  (m2.phantoms - m1.phantoms)  as phantoms ,  (m2.streams - m1.streams)  as streams FROM  1314howe.measurement m1 ,  1314howe.measurement m2 WHERE  m2.clock > m1.clock AND  NOT EXISTS ( SELECT  clock FROM  1314howe.measurement m3 WHERE  m1.clock < m3.clock AND  m2.clock > m3.clock ) ) x ORDER BY  clock asc",Not Equivalent,Value_Change,NO,NO,Value_Change,NO,Value_Change,NO,Value_Change,YES,Join_Nested,YES,Join_Nested
SELECT  * FROM  [1317].[COFFEEEEEEEEEE] where value >1000 and price >.15 and year >1900,"SELECT * FROM [1317].[COFFEEEEEEEEEE]
WHERE value > 1000
INTERSECT
SELECT * FROM [1317].[COFFEEEEEEEEEE]
WHERE price > 0.15
INTERSECT
SELECT * FROM [1317].[COFFEEEEEEEEEE]
WHERE year > 1900;",Equivalent,Condition_IntersectUnion,YES,YES,Condition_IntersectUnion,YES,Condition_IntersectUnion,YES,Condition_IntersectUnion,NO,Condition_IntersectUnion,YES,Condition_IntersectUnion
"SELECT  Column1 as time, Column2-1 as donor_idx, Column3 as acceptor_idx, Column4 as donor_resnm, Column5 as donor_resid, Column6 as donor_atom, Column7 as acceptor_resnm, Column8 as acceptor_resid, Column9 as acceptor_atom, Column10 as distance, Column11 as angle from Article ","SELECT  Column1 as time, Column2-1 as donor_idx, Column3 as acceptor_idx, Column4 as donor_resnm, Column5 as donor_resid, Column6 as donor_atom, Column7 as acceptor_resnm, Column8 as acceptor_resid, Column9 as acceptor_atom, Column10 as distance, Column11 as angle, Column12 as angle2 from Article ",Not Equivalent,Adding_Removing_Select_Column,NO,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column
"SELECT 
    MAX(salary) AS max_salary, 
    MIN(salary) AS min_salary, 
    AVG(salary) AS avg_salary, 
    COUNT(*) AS total_entries
FROM (
    SELECT 
        Name, 
        [Job Title] AS job_title, 
        [2010 Gross Earnings] AS salary 
    FROM [1314howe].[uw_salaries_2011.txt]
) x 
WHERE 
    (job_title LIKE '%RESEAR%PRINCI%' OR job_title LIKE 'ASSISTANT PROFESSOR')
    AND name LIKE '%balazinska%' 
    AND job_title NOT LIKE '%APL%' 
    AND salary < 112800;","SELECT 
    MAX([2010 Gross Earnings]) AS max_salary, 
    MIN([2010 Gross Earnings]) AS min_salary, 
    AVG([2010 Gross Earnings]) AS avg_salary, 
    COUNT(*) AS total_entries
FROM 
    [1314howe].[uw_salaries_2011.txt]
WHERE 
    ([Job Title] LIKE '%RESEAR%PRINCI%' OR [Job Title] LIKE 'ASSISTANT PROFESSOR')
    AND Name LIKE '%balazinska%' 
    AND [Job Title] NOT LIKE '%APL%' 
    AND [2010 Gross Earnings] < 112800;",Equivalent,Simplification,YES,YES,Simplification,YES,Simplification,YES,Simplification,YES,Simplification,YES,Simplification
"SELECT term_id, tf, D, docs_with_T , log(D)-log(docs_with_T) as idf , tf * (log(D)-log(docs_with_T)) as [tf-idf] FROM ( SELECT term_id, SUM(frequency) as tf , (SELECT  COUNT(distinct doc_id) FROM  [1314howe].[reuters_terms.csv]) as D , COUNT(*) as docs_with_T FROM  [1314howe].[reuters_terms.csv] GROUP BY  term_id ) a ORDER BY  [tf-idf] desc","WITH TermStats AS (
    SELECT 
        term_id, 
        SUM(frequency) AS tf, 
        (SELECT COUNT(DISTINCT doc_id) FROM [1314howe].[reuters_terms.csv]) AS D, 
        COUNT(*) AS docs_with_T 
    FROM 
        [1314howe].[reuters_terms.csv] 
    GROUP BY 
        term_id
)
SELECT 
    term_id, 
    tf, 
    D, 
    docs_with_T, 
    LOG(D) - LOG(docs_with_T) AS idf, 
    tf * (LOG(D) - LOG(docs_with_T)) AS [tf-idf] 
FROM 
    TermStats 
ORDER BY 
    [tf-idf] DESC;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
SELECT  * FROM  [412].[bact detection distinct peptides] LEFT JOIN  [412].[interact-2015_May_6_Bacteria_Detection9.pep.xls] ON [412].[bact detection distinct peptides].peptide=[interact-2015_May_6_Bacteria_Detection9.pep.xls].peptide,SELECT  * FROM  [412].[bact detection distinct peptides] INNER JOIN  [412].[interact-2015_May_6_Bacteria_Detection9.pep.xls] ON [412].[bact detection distinct peptides].peptide=[interact-2015_May_6_Bacteria_Detection9.pep.xls].peptide,Not Equivalent,Change_Join_Condition,NO,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition
"WITH  Numbered AS (SELECT  [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [DateTime] ASC) AS [Row] FROM  [1059].[SDS_VIEW]) ,  Paired AS (SELECT  a.[DateTime] AS [DateTime] ,  DATEDIFF(second,  a.[DateTime],  b.[DateTime]) AS [Elapsed (s)] ,  a.[LAT] AS [lat1deg] ,  a.[LON] AS [lon1deg] ,  b.[LAT] AS [lat2deg] ,  b.[LON] AS [lon2deg] ,  a.[LAT] * PI() / 180 AS [lat1] ,  b.[LAT] * PI() / 180  AS [lat2] ,  (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat] ,  (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] FROM  Numbered a JOIN  Numbered b ON a.[Row]+1 = b.[Row]) ,  Trig AS (SELECT  * ,  POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val FROM  Paired) ,  Distance AS (SELECT  * ,  6378100 * 2 * atn2(sqrt(val),  sqrt(1-val)) AS [Distance (m)] FROM  Trig) SELECT  TOP 500 * ,  [Distance (m)] / NULLIF([Elapsed (s)], 0) AS [Velocity (m/s)] FROM  Distance","SELECT TOP 500
    *,
    [Distance (m)] / NULLIF([Elapsed (s)], 0) AS [Velocity (m/s)]
FROM (
    SELECT 
        *,
        6378100 * 2 * ATN2(SQRT(val), SQRT(1-val)) AS [Distance (m)]
    FROM (
        SELECT 
            *,
            POWER(SIN(dlat / 2), 2) + POWER(SIN(dlon / 2), 2) * COS(lat1) * COS(lat2) AS val
        FROM (
            SELECT 
                a.[DateTime] AS [DateTime],
                DATEDIFF(second, a.[DateTime], b.[DateTime]) AS [Elapsed (s)],
                a.[LAT] AS [lat1deg],
                a.[LON] AS [lon1deg],
                b.[LAT] AS [lat2deg],
                b.[LON] AS [lon2deg],
                a.[LAT] * PI() / 180 AS [lat1],
                b.[LAT] * PI() / 180 AS [lat2],
                (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat],
                (a.[LON] - b.[LON]) * PI() / 180 AS [dlon]
            FROM (
                SELECT [DateTime], [LAT], [LON], ROW_NUMBER() OVER (ORDER BY [DateTime] ASC) AS [Row]
                FROM [1059].[SDS_VIEW]
            ) a
            JOIN (
                SELECT [DateTime], [LAT], [LON], ROW_NUMBER() OVER (ORDER BY [DateTime] ASC) AS [Row]
                FROM [1059].[SDS_VIEW]
            ) b ON a.[Row] + 1 = b.[Row]
        ) Paired
    ) Trig
) Distance;",Equivalent,Simplification,YES,YES,Simplification,YES,Simplification,YES,Simplification,YES,Simplification,YES,Simplification
"SELECT  [entry no.] as [B1.2 entry no.], [protein] AS [B1.2 protein], [protein probability] AS [B1.2 protein probability], [protein description] AS [B1.2 protein description], [percent coverage] AS [B1.2 percent coverage], [tot indep spectra] AS [B1.2 tot indep spectra], [percent share of spectrum IDs] AS [B1.2 percent share of spectrum IDs], [peptides] as [B1.2 peptides] FROM  [412].[table_interact-2015_May_6_Bacteria_Detection51.prot.xls]","WITH CTE_ProteinData AS (
    SELECT 
        [entry no.] as [B1.2 entry no.], 
        [protein] AS [B1.2 protein], 
        [protein probability] AS [B1.2 protein probability], 
        [protein description] AS [B1.2 protein description], 
        [percent coverage] AS [B1.2 percent coverage], 
        [tot indep spectra] AS [B1.2 tot indep spectra], 
        [percent share of spectrum IDs] AS [B1.2 percent share of spectrum IDs], 
        [peptides] as [B1.2 peptides] 
    FROM  
        [412].[table_interact-2015_May_6_Bacteria_Detection51.prot.xls]
)
SELECT * FROM CTE_ProteinData;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
"SELECT [protein] AS [protein45], [protein probability] AS [protein probability45], [percent coverage] AS [percent coverage45], [tot indep spectra] AS [tot indep spectra45], [peptides] AS [peptides45] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea45.prot.xls] WHERE  [tot indep spectra]>1","SELECT [protein] AS [protein45], [protein probability] AS [protein probability45], [percent coverage] AS [percent coverage45], [tot indep spectra] AS [tot indep spectra45], [peptides] AS [peptides45] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea45.prot.xls] WHERE  [tot indep spectra]<1",Not Equivalent,Operators,NO,NO,Operators,NO,Operators,NO,Operators,NO,Operators,NO,Operators
SELECT  * FROM  [412].[table_loadings from skyline nmds.txt] INNER JOIN  [412].[table_Cg proteome db evalue -10.txt] ON [412].[table_loadings from skyline nmds.txt].Protein=[412].[table_Cg proteome db evalue -10.txt].Protein,"SELECT *
FROM [412].[table_loadings from skyline nmds.txt], [412].[table_Cg proteome db evalue -10.txt]
WHERE [412].[table_loadings from skyline nmds.txt].Protein = [412].[table_Cg proteome db evalue -10.txt].Protein;",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"select * FROM  ( select cast(month + '/' + day + '/' + year as datetime) as ddate ,  cast(substring(stime, 1, 2) as integer) as hours ,  cast(substring(stime, 3, 2) as integer) as minutes ,  cast(substring(stime, 5, 2) as integer) as seconds ,  * from ( select substring(sdate, len(sdate) - 5, 2) as day ,  substring(sdate, len(sdate) - 3, 2) as month ,  substring(sdate, len(sdate) - 1, 2) as year ,  substring(ztime, len(ztime) - 5, 6) as stime ,  * from ( select '00000' + cast(time as varchar) as ztime ,  '0' + cast(date as varchar) as sdate ,  * from [1002].[Tokyo_0_merged_data.csv] ) x ) y ) z order by timestamp","WITH DateTransform AS (
    SELECT
        '0' + CAST(date AS VARCHAR) AS sdate,  -- Prepend '0' to date
        '00000' + CAST(time AS VARCHAR) AS ztime,  -- Prepend '00000' to time
        *
    FROM [1002].[Tokyo_0_merged_data.csv]
),
TimeComponents AS (
    SELECT
        SUBSTRING(sdate, LEN(sdate) - 5, 2) AS day,
        SUBSTRING(sdate, LEN(sdate) - 3, 2) AS month,
        SUBSTRING(sdate, LEN(sdate) - 1, 2) AS year,
        SUBSTRING(ztime, LEN(ztime) - 5, 6) AS stime,
        *
    FROM DateTransform
),
FinalTransformation AS (
    SELECT
        CAST(month + '/' + day + '/' + year AS DATETIME) AS ddate,
        CAST(SUBSTRING(stime, 1, 2) AS INTEGER) AS hours,
        CAST(SUBSTRING(stime, 3, 2) AS INTEGER) AS minutes,
        CAST(SUBSTRING(stime, 5, 2) AS INTEGER) AS seconds,
        *
    FROM TimeComponents
)
SELECT *
FROM FinalTransformation
ORDER BY timestamp;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
select * FROM  [1123].[Mgo_RNAseq_transcript],"WITH CTE_Transcript AS (
    SELECT * FROM [1123].[Mgo_RNAseq_transcript]
)
SELECT * FROM CTE_Transcript;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
"SELECT SUM([C1A_15 SpC/L]) AS [SUM C1A_15 SpC/L], SUM([C1B_16 SpC/L]) AS [SUM C1B_16 SpC/L], SUM([C2_17 SpC/L]) AS [SUM C2_17 SpC/L], SUM([C3_18 SpC/L]) AS [SUM C3_18 SpC/L], SUM([T8A_21 SpC/L]) AS [SUM T8A_21 SpC/L], SUM([T10_22 SpC/L]) AS [SUM T10_22 SpC/L], SUM([T11_23 SpC/L]) AS [SUM T11_23 SpC/L], SUM([V13B_28 SpC/L]) AS [SUM V13B_28 SpC/L], SUM([V14_29 SpC/L]) AS [SUM V14_29 SpC/L], SUM([V17_30 SpC/L]) AS [SUM V17_30 SpC/L], SUM([VT21_33 SpC/L]) AS [SUM VT21_33 SpC/L], SUM([VT22_34 SpC/L]) AS [SUM VT22_34 SpC/L], SUM([VT23_35 SpC/L]) AS [SUM VT23_35 SpC/L], SUM([C2_41 SpC/L]) AS [SUM C2_41 SpC/L], SUM([C1A_42 SpC/L]) AS [SUM C1A_42 SpC/L], SUM([C3_43 SpC/L]) AS [SUM C3_43 SpC/L], SUM([T10_46 SpC/L]) AS [SUM T10_46 SpC/L], SUM([T8A_47 SpC/L]) AS [SUM T8A_47 SpC/L], SUM([T11_50 SpC/L]) AS [SUM T11_50 SpC/L], SUM([VT23_53 SpC/L]) AS [SUM VT23_53 SpC/L], SUM([VT21_54 SpC/L]) AS [SUM VT21_54 SpC/L], SUM([VT22_55 SpC/L]) AS [SUM VT22_55 SpC/L] FROM  [412].[Macoma individual SpC-L]","SELECT SUM([C1A_15 SpC/L]) AS [SUM C1A_15 SpC/L], SUM([C1B_16 SpC/L]) AS [SUM C1B_16 SpC/L], SUM([C2_17 SpC/L]) AS [SUM C2_17 SpC/L], SUM([C3_18 SpC/L]) AS [SUM C3_18 SpC/L], SUM([T8A_21 SpC/L]) AS [SUM T8A_21 SpC/L], SUM([T10_22 SpC/L]) AS [SUM T10_22 SpC/L], SUM([T11_23 SpC/L]) AS [SUM T11_23 SpC/L], SUM([V13B_28 SpC/L]) AS [SUM V13B_28 SpC/L], SUM([V14_29 SpC/L]) AS [SUM V14_29 SpC/L], SUM([V17_30 SpC/L]) AS [SUM V17_30 SpC/L], SUM([VT21_33 SpC/L]) AS [SUM VT21_33 SpC/L], MAX([VT22_34 SpC/L]) AS [SUM VT22_34 SpC/L], SUM([VT23_35 SpC/L]) AS [SUM VT23_35 SpC/L], SUM([C2_41 SpC/L]) AS [SUM C2_41 SpC/L], SUM([C1A_42 SpC/L]) AS [SUM C1A_42 SpC/L], SUM([C3_43 SpC/L]) AS [SUM C3_43 SpC/L], SUM([T10_46 SpC/L]) AS [SUM T10_46 SpC/L], SUM([T8A_47 SpC/L]) AS [SUM T8A_47 SpC/L], SUM([T11_50 SpC/L]) AS [SUM T11_50 SpC/L], SUM([VT23_53 SpC/L]) AS [SUM VT23_53 SpC/L], SUM([VT21_54 SpC/L]) AS [SUM VT21_54 SpC/L], SUM([VT22_55 SpC/L]) AS [SUM VT22_55 SpC/L] FROM  [412].[Macoma individual SpC-L]",Not Equivalent,Aggregate_Function,NO,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function
select * from Glycerol_Stocks_Locations where Target_name like 'MytuD.00010.a.A1%',select * from Glycerol_Stocks_Locations where Target_name like 'MytuD.000010.a.A1%',Not Equivalent,Value_Change,NO,NO,Value_Change,NO,Value_Change,NO,Value_Change,NO,Value_Change,NO,Value_Change
SELECT  * FROM  [826].[table_thapsIT_hemizygous_genes.txt] IT join [826].[Hemi_ALL_temp] artifact on IT.proteinId != artifact.proteinId,"SELECT *
FROM [826].[table_thapsIT_hemizygous_genes.txt] IT, [826].[Hemi_ALL_temp] artifact
WHERE IT.proteinId != artifact.proteinId;",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"SELECT * 
FROM [1123].[RobertsLab_PrimerDatabase]
WHERE (""Organism"" LIKE '%gigas' OR ""Organism"" LIKE '%oyst%')
  AND ""Designed By"" LIKE 'Brad%'","SELECT * 
FROM (
    SELECT *
    FROM [1123].[RobertsLab_PrimerDatabase]
    WHERE (""Organism"" LIKE '%gigas' OR ""Organism"" LIKE '%oyst%') 
      AND ""Designed By"" LIKE 'Brad%'
) AS FilteredResults",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested
SELECT  * FROM  [1123].[qDOD_Protein_Sequences] pro Left Join [1123].[qDOD_Cgigas_GO_GOslim] cgslim,SELECT  * FROM  [1123].[qDOD_Protein_Sequences] pro Right Join [1123].[qDOD_Cgigas_GO_GOslim] cgslim,Equivalent,Aggregate_Function,NO,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function
SELECT  * FROM  [790].[table_PhoneBook.csv] where [name]='Sara',"SELECT * 
FROM (
    SELECT * FROM [790].[table_PhoneBook.csv]
    WHERE [name] = 'Sara'
) AS Subquery;",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested
SELECT  * FROM  [826].[deUrea_BH.csv] where logFC < 0 and BH < 0.0001,"SELECT * FROM [826].[deUrea_BH.csv]
WHERE logFC < 0

INTERSECT

SELECT * FROM [826].[deUrea_BH.csv]
WHERE BH < 0.0001;",Equivalent,Condition_IntersectUnion,YES,YES,Condition_IntersectUnion,YES,Condition_IntersectUnion,YES,Condition_IntersectUnion,YES,Condition_IntersectUnion,YES,Condition_IntersectUnion
"SELECT  [entry no.] as [C3.2 entry no.], [protein] AS [C3.2 protein], [protein probability] AS [C3.2 protein probability], [protein description] AS [C3.2 protein description], [percent coverage] AS [C3.2 percent coverage], [tot indep spectra] AS [C3.2 tot indep spectra], [percent share of spectrum IDs] AS [C3.2 percent share of spectrum IDs], [peptides] as [C3.2 peptides] FROM  [412].[table_interact-2015_May_6_Bacteria_Detection89_150512121311.prot.xls]","SELECT 
    [entry no.] as [C3.2 entry no.],
    [protein] AS [C3.2 protein],
    CASE 
        WHEN [protein probability] IS NOT NULL THEN [protein probability]
        ELSE NULL
    END AS [C3.2 protein probability],
    [protein description] AS [C3.2 protein description],
    [percent coverage] AS [C3.2 percent coverage],
    [tot indep spectra] AS [C3.2 tot indep spectra],
    [percent share of spectrum IDs] AS [C3.2 percent share of spectrum IDs],
    [peptides] as [C3.2 peptides] 
FROM 
    [412].[table_interact-2015_May_6_Bacteria_Detection89_150512121311.prot.xls];",Equivalent,Case_Statement,YES,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement
