SQL_Statement,Modified_Statements,Syntax_Error_sqlshare,Is there any missing word,Missing_type_sqlshare,Missing_word_sqlshare,Missing Word(Generalization),Missing_position_sqlshare
SELECT  * FROM  [1123].[fish546_module1_blast_table] INNER JOIN  [1123].[associations_uni_swisspro_012410] ON [1123].[fish546_module1_blast_table].SPID=[1123].[associations_uni_swisspro_012410].ID,SELECT  * FROM   INNER JOIN  .[associations_uni_swisspro_012410] ON [1123].[fish546_module1_blast_table].SPID=[1123].[associations_uni_swisspro_012410].ID,YES,YES,Missing Table,[1123].[fish546_module1_blast_table],Table Name,4
"SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) AS [UnixTimestamp] ,  CAST([LAT] AS VARCHAR) AS [LAT] ,  CAST([LON] AS VARCHAR) AS [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  CAST([SALINITY] AS VARCHAR) AS [SALINITY] --  ,  CAST([OCEAN.TEMP] AS VARCHAR) AS [OCEAN.TEMP] --  ,  CAST([BULK.RED] AS VARCHAR) AS [BULK.RED] --  ,  CAST([STREAM.PRESSURE] AS VARCHAR) AS [STREAM.PRESSURE] --  ,  CAST([FILTER.PRESSURE] AS VARCHAR) AS [FILTER.PRESSURE] --  ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] --  ,  CAST([Xaccel] AS VARCHAR) AS [Xaccel] --  ,  CAST([Yaccel] AS VARCHAR) AS [Yaccel] --  ,  CAST([Zaccel] AS VARCHAR) AS [Zaccel] --  ,  CAST([MILLISECOND.TIMER] AS VARCHAR) AS [MILLISECOND.TIMER] --  ,  CAST([LASER.POWER] AS VARCHAR) AS [LASER.POWER] --  ,  CAST([EVENT.RATE] AS VARCHAR) AS [EVENT.RATE] --  ,  CAST([FLOW.METER] AS VARCHAR) AS [FLOW.METER] --  ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] --  ,  CAST([CHL] AS VARCHAR) AS [CHL] --  ,  CAST([Light.Trans] AS VARCHAR) AS [Light.Trans] --  ,  CAST([acq.Error] AS VARCHAR) AS [acq.Error] --  ,  CAST([D1.D2] AS VARCHAR) AS [D1.D2] --  ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR] END AS [PAR] --  ,  CASE WHEN [time] = 'NA' THEN NULL ELSE [time] END AS [time] --   ,  CASE WHEN [day] = 'NA' THEN NULL ELSE [day] END AS [day] --  ,  CAST([file] AS VARCHAR) AS [file] --  ,  CASE WHEN [DMY] = 'NA' THEN NULL ELSE [DMY] END AS [DMY] --  ,  CASE WHEN [HMS] = 'NA' THEN NULL ELSE [HMS] END AS [HMS] FROM  [1059].[sds.tab] --ORDER BY  [UnixTimestamp] ASC","SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) AS [UnixTimestamp] ,  CAST([LAT] AS VARCHAR) AS [LAT] ,  CAST([LON] AS VARCHAR) AS [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  CAST([SALINITY] AS VARCHAR) AS [SALINITY] --  ,  CAST([OCEAN.TEMP] AS VARCHAR) AS [OCEAN.TEMP] --  ,  CAST([BULK.RED] AS VARCHAR) AS [BULK.RED] --  ,  CAST([STREAM.PRESSURE] AS VARCHAR) AS [STREAM.PRESSURE] --  ,  CAST([FILTER.PRESSURE] AS VARCHAR) AS [FILTER.PRESSURE] --  ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] --  ,  CAST([Xaccel] AS VARCHAR) AS [Xaccel] --  ,  CAST([Yaccel] AS VARCHAR) AS [Yaccel] --  ,  CAST([Zaccel] AS VARCHAR) AS [Zaccel] --  ,  CAST([MILLISECOND.TIMER] AS VARCHAR) AS [MILLISECOND.TIMER] --  ,  CAST([LASER.POWER] AS VARCHAR) AS [LASER.POWER] --  ,  CAST([EVENT.RATE] AS VARCHAR) AS [EVENT.RATE] --  ,  CAST([FLOW.METER] AS VARCHAR) AS [FLOW.METER] --  ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] --  ,  CAST([CHL] AS VARCHAR) AS [CHL] --  ,  CAST([Light.Trans] AS VARCHAR) AS [Light.Trans] --  ,  CAST([acq.Error] AS VARCHAR) AS [acq.Error] --  ,  CAST([D1.D2] AS VARCHAR) AS [D1.D2] --  ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR] END AS [PAR] --  ,  CASE WHEN [time] = 'NA' THEN NULL ELSE [time] END AS [time] --   ,  CASE WHEN [day] = 'NA' THEN NULL ELSE [day] END AS [day] --  ,  CAST([file] AS VARCHAR) AS [file] --  ,  CASE WHEN [DMY] = 'NA' THEN NULL ELSE [DMY] END AS [DMY] --  ,  CASE WHEN [HMS] = 'NA' THEN NULL ELSE [HMS] END AS [HMS] FROM  [1059].[sds.tab] --ORDER   [UnixTimestamp] ASC",YES,YES,Missing Keyword,BY,BY,328
"SELECT  [Saito_Id] ,  CASE WHEN [Identified Proteins] = '#N/A' THEN NULL ELSE [Identified Proteins] END AS [Identified Proteins] ,  CASE WHEN [Accession] = '#N/A' THEN NULL ELSE [Accession] END AS [Accession] ,  CASE WHEN [BLAST_NR ANNOTATION] = '#N/A' THEN NULL ELSE [BLAST_NR ANNOTATION] END AS [Accession] ,  [BLAST NR OR GANISM] ,  [BLAST Microbial P col1] ,  [BLAST Microbial P col2] ,  [Molecular Weight] ,  [(G13) S1-15m] ,  [(G14)-S1-40m] ,  [(G15)-S1-70m] ,  [(G10)-S4-45m] ,  [(G11)-S4-65m] ,  [(G2)-S8-33m] ,  [(G3)-S8-70m] ,  [(G6)-S6-15m] ,  [(G7)-S6-45m] FROM  [446].[table_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]","SELECT  [Saito_Id] ,  CASE WHEN [Identified Proteins]  '#N/A' THEN NULL ELSE [Identified Proteins] END AS [Identified Proteins] ,  CASE WHEN [Accession] = '#N/A' THEN NULL ELSE [Accession] END AS [Accession] ,  CASE WHEN [BLAST_NR ANNOTATION] = '#N/A' THEN NULL ELSE [BLAST_NR ANNOTATION] END AS [Accession] ,  [BLAST NR OR GANISM] ,  [BLAST Microbial P col1] ,  [BLAST Microbial P col2] ,  [Molecular Weight] ,  [(G13) S1-15m] ,  [(G14)-S1-40m] ,  [(G15)-S1-70m] ,  [(G10)-S4-45m] ,  [(G11)-S4-65m] ,  [(G2)-S8-33m] ,  [(G3)-S8-70m] ,  [(G6)-S6-15m] ,  [(G7)-S6-45m] FROM  [446].[table_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]",YES,YES,Missing Comparison,=',Comparison Operator,8
SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [101B_2_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_01.txt].proteinCG2_01 LEFT JOIN  [101B_2_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_02.txt].proteinCG2_02 LEFT JOIN  [101B_2_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_03.txt].proteinCG2_03 LEFT JOIN  [101B_5_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_01.txt].proteinCG5_01 LEFT JOIN  [101B_5_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_02.txt].proteinCG5_02 LEFT JOIN  [101B_5_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_03.txt].proteinCG5_03 LEFT JOIN  [101B_8_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_01.txt].proteinCG8_01 LEFT JOIN  [101B_8_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_02.txt].proteinCG8_02,SELECT *  FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [101B_2_01.txt]  [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_01.txt].proteinCG2_01 LEFT JOIN  [101B_2_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_02.txt].proteinCG2_02 LEFT JOIN  [101B_2_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_03.txt].proteinCG2_03 LEFT JOIN  [101B_5_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_01.txt].proteinCG5_01 LEFT JOIN  [101B_5_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_02.txt].proteinCG5_02 LEFT JOIN  [101B_5_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_03.txt].proteinCG5_03 LEFT JOIN  [101B_8_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_01.txt].proteinCG8_01 LEFT JOIN  [101B_8_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_02.txt].proteinCG8_02,YES,YES,Missing Keyword,on,ON,12
"SELECT  [time],  attenuation FROM ( SELECT  [time],  attenuation FROM [1059].[CSTAR_VIEW] ) AS subbie","SELECT  [time],  attenuation FROM ( SELECT  [time],  attenuation FROM [1059].[CSTAR_VIEW] ) AS ",YES,YES,Missing Alias,subbie,Alias,13
"SELECT  GeneModel,  UniqueProteinId,  InterproEntry,  InterPro_desc,  count(*) FROM  [826].[FracyInterProScan_noNULL] GROUP BY  GeneModel,  UniqueProteinId,  InterproEntry,  InterPro_desc"," SELECT GeneModel,  UniqueProteinId,  InterproEntry,  InterPro_desc,  count(*) FROM  [826].[FracyInterProScan_noNULL] GROUP  GeneModel,  UniqueProteinId,  InterproEntry,  InterPro_desc",YES,YES,Missing Keyword,BY,BY,10
"SELECT  sql_query,  sql_query_hash,  x_col_name,  y_col_name ,  vizlet_type,  count(*) as score FROM  [1307].[vizlets_23nov11_10h34m16s_vizlet_and_action_features.csv] WHERE  action = 'promote' GROUP BY  sql_query,  sql_query_hash,  x_col_name,  y_col_name ,  vizlet_type","SELECT  sql_query,  sql_query_hash,  x_col_name,  y_col_name ,  vizlet_type,  count(*) as score FROM  [1307].[vizlets_23nov11_10h34m16s_vizlet_and_action_features.csv] WHERE  action =  GROUP BY  sql_query,  sql_query_hash,  x_col_name,  y_col_name ,  vizlet_type",YES,YES,Missing Value,promote',Value,20
"SELECT  'arboretum' as datasource ,  Obs_id ,  NULL as species_code ,  species as common_name ,  NULL as scientific_name ,  q as questionable ,  st as state ,  Co as county ,  convert(datetime,  [date]) as date","SELECT  'arboretum' as datasource ,  Obs_id ,  NULL as species_code ,  species as common_name ,  NULL as scientific_name ,  q as questionable ,  st as state ,  Co as county ,  convert(datetime,  [date]) as",YES,YES,Missing Alias,date,Alias,35
SELECT  * FROM  [188].[table_ec_pathway.csv] where ec_number is null,SELECT  * FROM  [188].[table_ec_pathway.csv] where ec_number is null,NO,NO,N/A,N/A,N/A,0
"SELECT  LAT,  LON,  [file],  [OCEAN.TEMP],  SALINITY,  day,  [BULK.RED], convert(date,  DMY,  101) as DMY, convert(date,  HMS,  103) as HMS FROM  [1057].[Thompson4_sds.tab]","SELECT  LAT,  LON,  [file],  [OCEAN.TEMP],  SALINITY,  day,  [BULK.RED], convert(date,  DMY,  101) as DMY, convert(date,  HMS,  103) as HMS FROM  [1057].[Thompson4_sds.tab]",NO,NO,N/A,N/A,N/A,0
"SELECT  TOP 10 a.fullname,  count(*) as c FROM   [1143].[author] a, [1143].[authored] b, [1143].[inproceedings] p WHERE  a.fullname = b.fullname and b.pubID = p.id and p.booktitle='NSDI' and not exists (SELECT  * FROM  [1143].[authored] b2, [1143].[inproceedings] p2 WHERE  a.fullname = b2.fullname and b2.pubID = p2.id and p2.booktitle='SIGCOMM') GROUP BY  a.fullname ORDER BY  c DESC","SELECT  TOP 10 a.fullname,  count(*) as c FROM   [1143].[author] a, [1143].[authored] b, [1143].[inproceedings] p WHERE  a.fullname = b.fullname and b.pubID = p.id and p.booktitle='NSDI' and not exists (SELECT  * FROM  [1143].[authored] b2, [1143].[inproceedings] p2 WHERE  a.fullname  b2.fullname and b2.pubID = p2.id and p2.booktitle='SIGCOMM') GROUP BY  a.fullname ORDER BY  c DESC",YES,YES,Missing Comparison,=',Comparison Operator,44
"SELECT  one.pdb_id,  one.res_type,  two.res_type FROM  [1267].[h2_w_nogaps_2.csv] one,  [1267].[h2_w_nogaps_2.csv] two WHERE  one.pdb_id = two.pdb_id   AND  one.chain = two.chain AND  one.res_index = two.res_index + 1 AND  (two.res_surface_area_ratio > 0.3   OR  one.res_surface_area_ratio > 0.3)","SELECT  one.pdb_id,  one.res_type,   FROM  [1267].[h2_w_nogaps_2.csv] one,  [1267].[h2_w_nogaps_2.csv] two WHERE  one.pdb_id = two.pdb_id   AND  one.chain = two.chain AND  one.res_index = two.res_index + 1 AND  (two.res_surface_area_ratio > 0.3   OR  one.res_surface_area_ratio > 0.3)",YES,YES,Missing Column,two.res_type,Column Name,4
SELECT  * FROM  [412].[protpeps] LEFT JOIN  [prot data all] --could use join ON [protpeps].[peptide sequence]=[prot data all].[peptide sequence],SELECT  * FROM  [412].[protpeps] LEFT JOIN  [prot data all] --could use join ON [protpeps].[peptide sequence]=[prot data all].[peptide sequence],NO,NO,N/A,N/A,N/A,0
"SELECT  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM,  YEAR,  MONTH,  DAY_OF_MONTH,  COUNT(*) FROM  [372].[flights09] GROUP BY  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM,  YEAR,  MONTH,  DAY_OF_MONTH","SELECT  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM,  YEAR,  MONTH,  DAY_OF_MONTH,  COUNT(*) FROM  [372].[flights09] GROUP BY  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM,  YEAR,  MONTH,  DAY_OF_MONTH",NO,NO,N/A,N/A,N/A,0
"WITH  tmp AS (SELECT  stations.*, underway.* FROM  [446].[Underway_GeoMICS.csv] underway JOIN  [446].[Stations] stations ON sqrt( power(stations.[Latitude..Decimal.deg.] - underway.[lat.degN], 2) + power(stations.[Longitude..Decimal.deg.] - underway.[long.degW]-360, 2)) < 0.1) SELECT  DISTINCT Station FROM  tmp","WITH  tmp AS (SELECT  stations.*, underway.* FROM  [446].[Underway_GeoMICS.csv] underway JOIN  [446].[Stations] stations ON sqrt( power(stations.[Latitude..Decimal.deg.] - underway.[lat.degN], 2) + power(stations.[Longitude..Decimal.deg.] - underway.[long.degW]-360, 2))  0.1) SELECT  DISTINCT Station FROM  tmp",YES,YES,Missing Comparison,<,Comparison Operator,32
SELECT  sum(Total_Amount_of_Payment_USDollars) FROM  [1079].[OPPR_ALL_DTL_GNRL_093020141.csv],SELECT  sum() FROM  [1079].[OPPR_ALL_DTL_GNRL_093020141.csv],YES,YES,Missing Column,Total_Amount_of_Payment_USDollars,Column Name,3
"SELECT  * FROM  [ssgcid_EC_map] WHERE  ec_number in ('5.3.3.4', '5.4.99.14', '5.5.1.7')","SELECT  * FROM  [ssgcid_EC_map] WHERE  ec_number in ('5.3.3.4', '5.4.99.14', '5.5.1.7')",NO,NO,N/A,N/A,N/A,0
SELECT  query FROM  [sqlshare].[1385_query_log] WHERE  status = 'success' and query like '%( select%' or query like '%(select%',SELECT  query FROM  [sqlshare].[1385_query_log] WHERE   = 'success' and query like '%( select%' or query like '%(select%',YES,YES,Missing Table,status,Column Name,10
"SELECT  GO.*,  KEGG.*  FROM  [826].[Psemu1_GO_TranscriptIds_added.tab.txt] GO left outer join [826].[table_Psemu1_KEGG_TranscriptIds_added.tab.txt] KEGG on GO.transcriptId = KEGG.transcriptId","SELECT  GO.*,  KEGG.*  FROM  [826].[Psemu1_GO_TranscriptIds_added.tab.txt] GO left outer join [826].[table_Psemu1_KEGG_TranscriptIds_added.tab.txt] KEGG on GO.transcriptId = ",YES,YES,Missing Value,KEGG.transcriptId,Value,15
SELECT  * FROM  [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)] where CGI_ID like 'CGI_10027416',SELECT   FROM  [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)] where CGI_ID like 'CGI_10027416',YES,YES,Missing Column,*,Column Name,2
SELECT  * FROM  [1017].[matched_DEGs_IFheads_2] where heads='~FBgn',SELECT  * FROM  [1017].[matched_DEGs_IFheads_2] where heads='~FBgn',NO,NO,N/A,N/A,N/A,0
SELECT  * FROM  [1267].[cph2_w_1.csv] WHERE  gaps = 0," SELECT * FROM  [1267].[cph2_w_1.csv] WHERE  gaps = ",YES,YES,Missing Value,0,Value,8
"SELECT  floor(latitude/0.7)*0.7 as latbin ,  floor(longitude/0.7)*0.7 as lonbin ,  floor(0.12/0.7)*0.7 ,  species FROM  [690].[All3col]","SELECT  floor(latitude/)*0.7 as latbin ,  floor(longitude/0.7)*0.7 as lonbin ,  floor(0.12/0.7)*0.7 ,  species FROM  [690].[All3col]",YES,YES,Missing Value,0.7,Value,5
"SELECT  Distinct A0A000 as SPID, ""GO:0003824"" as GOID FROM  [354].[SPID_GOnumber.txt]","SELECT  Distinct A0A000 as SPID, ""GO:0003824"" as GOID FROM  [354].[SPID_GOnumber.txt]",NO,NO,N/A,N/A,N/A,0
"select pathway_name,  s.genus,  count(distinct ec.ec_number) from [ec_pathway.csv] ec join [ssgcid_EC_map] s on (s.""EC Numbers"" = ec.ec_number) where pathway_name is not null group by pathway_name,  s.genus","select pathway_name,  s.genus,  count(distinct ec.ec_number) from [ec_pathway.csv]  join [ssgcid_EC_map] s on (s.""EC Numbers"" = ec.ec_number) where pathway_name is not null group by pathway_name,  s.genus",YES,YES,Missing Alias,ec,Alias,9
select count(*) from 1385s,"SELECT count(*) from ",YES,YES,Missing Table,1385s,Table Name,5
"SELECT  vizlet_type,  avg(score) ,  avg(x_kurtosis),  avg(y_kurtosis) ,  avg(x_coeff_var),  avg(y_coeff_var) ,  avg(x_gap_variance) ,  avg(x_unique_ratio) FROM  [1314howe].[Vizlet Scores and Features] WHERE  score > 0 GROUP BY  vizlet_type","SELECT  vizlet_type,  avg(score) ,  avg(x_kurtosis),  avg(y_kurtosis) ,  avg(x_coeff_var),  avg(y_coeff_var) ,  avg(x_gap_variance) ,  avg(x_unique_ratio) FROM  [1314howe].[Vizlet Scores and Features] WHERE   > 0 GROUP BY  vizlet_type",YES,YES,Missing Column,score,Column Name,20
SELECT  * FROM  [1057].[table_sds_2.tab],SELECT   FROM  [1057].[table_sds_2.tab],YES,YES,Missing Column,*,Column Name,2
SELECT  * FROM  [412].[cddannot.txt] where [CD accession] like 'cd05047',SELECT *  FROM  [412].[cddannot.txt] where  like 'cd05047',YES,YES,Missing Column,[CD accession],Column Name,6
"WITH  UniquePos AS (SELECT  DISTINCT [time],  [LAT],  [LON] FROM  [1059].[STATS_VIEW]), Numbered AS (SELECT  [time] as [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [Time] ASC) AS [Row] FROM  UniquePos) ,  Paired AS (SELECT  a.[DateTime] AS [DateTime] ,  DATEDIFF(second,  a.[DateTime],  b.[DateTime]) AS [Elapsed (s)] ,  a.[LAT] AS [lat1deg] ,  a.[LON] AS [lon1deg] ,  b.[LAT] AS [lat2deg] ,  b.[LON] AS [lon2deg] ,  a.[LAT] * PI() / 180 AS [lat1] ,  b.[LAT] * PI() / 180  AS [lat2] ,  (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat] ,  (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] FROM  Numbered a JOIN  Numbered b ON a.[Row]+1 = b.[Row]) ,  Trig AS (SELECT  * ,  POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val FROM  Paired) ,  Distance AS (SELECT  * ,  6378100 * 2 * atn2(sqrt(val),  sqrt(1-val)) AS [Distance (m)] FROM  Trig) SELECT  * ,  [Distance (m)] / NULLIF([Elapsed (s)], 0) AS [Velocity (m/s)] FROM  Distance","WITH  UniquePos AS (  DISTINCT [time],  [LAT],  [LON] FROM  [1059].[STATS_VIEW]), Numbered AS (SELECT  [time] as [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [Time] ASC) AS [Row] FROM  ) ,  Paired AS (SELECT  a.[DateTime] AS [DateTime] ,  DATEDIFF(second,  a.[DateTime],  b.[DateTime]) AS [Elapsed (s)] ,  a.[LAT] AS [lat1deg] ,  a.[LON] AS [lon1deg] ,  b.[LAT] AS [lat2deg] ,  b.[LON] AS [lon2deg] ,  a.[LAT] * PI() / 180 AS [lat1] ,  b.[LAT] * PI() / 180  AS [lat2] ,  (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat] ,  (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] FROM  Numbered a JOIN  Numbered b ON a.[Row]+1 = b.[Row]) ,  Trig AS (SELECT  * ,  POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val FROM  Paired) ,  Distance AS (SELECT  * ,  6378100 * 2 * atn2(sqrt(val),  sqrt(1-val)) AS [Distance (m)] FROM  Trig) SELECT  * ,  [Distance (m)] / NULLIF([Elapsed (s)], 0) AS [Velocity (m/s)] FROM  Distance",YES,YES,Missing Keyword,SELECT,SELECT,5
"SELECT  DISTINCT CASE WHEN PATINDEX('%[0-9]%',  [protein]) = 1 -- first char is number AND  CHARINDEX(', ',  [protein]) = 0 -- AND  no comma present THEN [protein] ELSE SUBSTRING([protein], PATINDEX('%[0-9]%',  [protein]),  -- start at first number CHARINDEX(', ',  [protein])-PATINDEX('%[0-9]%',  [protein])) -- length END AS [protein] ,  [tot indep spectra] FROM  [412].[C1_TCAfile176_1.txt]","SELECT  DISTINCT CASE WHEN PATINDEX('%[0-9]%',  [protein])  1 -- first char is number AND  CHARINDEX(', ',  [protein]) = 0 -- AND  no comma present THEN [protein] ELSE SUBSTRING([protein], PATINDEX('%[0-9]%',  [protein]),  -- start at first number CHARINDEX(', ',  [protein])-PATINDEX('%[0-9]%',  [protein])) -- length END AS [protein] ,  [tot indep spectra] FROM  [412].[C1_TCAfile176_1.txt]",YES,YES,Missing Comparison,=',Comparison Operator,10
SELECT  * FROM  [1123].[table_Table S14.csv],SELECT  * FROM  [1123].[table_Table S14.csv],NO,NO,N/A,N/A,N/A,0
"select [crystals?],  cleaved,  [Protein Code-1] from [xstal_tracker.csv] x left join proteins_cleaved_pdb p on (p.ssgcidid = x.[Protein Code-1]) where [Initial trials set up] < '08-01-2011' and cleaved is null","select [crystals?],  cleaved,  [Protein Code-1] from [xstal_tracker.csv]  left join proteins_cleaved_pdb p on (p.ssgcidid = x.[Protein Code-1]) where [Initial trials set up] < '08-01-2011' and cleaved is null",YES,YES,Missing Alias,x,Alias,8
"SELECT chr as seqname, 'methratio' as source, 'CpG' as feature, pos as start, pos + 1 as [end], cast(ratio as float) as score, strand, '.' as frame, '.' as attribute","SELECT chr as seqname, 'methratio' as source, 'CpG' as feature, pos as start, pos + 1 as [end], cast(ratio as float) as score, , '.' as frame, '.' as attribute",YES,YES,Missing Column,strand,Column Name,24
"select fullname,  conf_id,  organizer_type,  count(*) as c from [1143].tbl_organizer y group by fullname,  conf_id,  organizer_type having count(*) >= 2","select fullname,  conf_id,  organizer_type,  count(*) as c from [1143].tbl_organizer y group by fullname,  conf_id,  organizer_type having count(*)  2",YES,YES,Missing Comparison,>,Comparison Operator,25
SELECT  * FROM  [1123].[MgoTophat_coverage_CDS_summ_cv] Where cv > 1,SELECT  * FROM  [1123].[MgoTophat_coverage_CDS_summ_cv] Where cv  1,YES,YES,Missing Comparison,>,Comparison Operator,9
"SELECT CGI_ID, GOslim_bin, aspect FROM  [1123].[Cgigas-DEGlist-sql]deg left join [1123].[qDOD_Cgigas_GOslim_DISTINCT]sl on deg.baseMean=sl.CGI_ID where aspect like 'P'","SELECT CGI_ID, GOslim_bin, aspect FROM  [1123].[Cgigas-DEGlist-sql]deg left join [1123].[qDOD_Cgigas_GOslim_DISTINCT]sl on deg.baseMean=sl.CGI_ID where aspect like ",YES,YES,Missing Value,P,Value,22
"SELECT  count(*) FROM  [826].[PmTE_ALL-DE.txt] DE --  ,  [826].[table_Psemu1FL_RT_spgp_gp_ok.txt] supergroup --WHERE  supergroup.Consensus = DE.name --    AND  logFC_Fe < 1 --    AND  logFC_P > 1 --    AND  logFC_Si > 1 --    AND  logFC_Urea > 1 --    AND  (PValue_Fe < 0.05 --         OR  PValue_P < 0.05 --         OR  PValue_Si < 0.05 --         OR  PValue_Urea < 0.05)","SELECT  count(*) FROM  [826].[PmTE_ALL-DE.txt] DE ,   supergroup WHERE  supergroup.Consensus = DE.name --    AND  logFC_Fe < 1 --    AND  logFC_P > 1 --    AND  logFC_Si > 1 --    AND  logFC_Urea > 1 --    AND  (PValue_Fe < 0.05 --         OR  PValue_P < 0.05 --         OR  PValue_Si < 0.05 --         OR  PValue_Urea < 0.05)",YES,YES,Missing Table,[826].[table_Psemu1FL_RT_spgp_gp_ok.txt],Table Name,10
SELECT  * FROM  [826].[PmUreaSigDEonly05pvaluecutoff.txt] urea inner join [826].[table_PmSistarveSigDEonly05pvaluecutoff.txt] Si on urea.Urea_TranscriptID = Si.Si_TranscriptID where Si.Si_logFC > 1 and urea.Urea_logFC > 1,SELECT  * FROM  [826].[PmUreaSigDEonly05pvaluecutoff.txt] urea inner join [826].[table_PmSistarveSigDEonly05pvaluecutoff.txt] Si on urea.Urea_TranscriptID = Si.Si_TranscriptID where Si.Si_logFC > 1 and urea.Urea_logFC > 1,NO,NO,N/A,N/A,N/A,0
"select s.ssgcidid,  s.uniprot,  ec.""EC Numbers"",  ec.""Database"" as ec_source,  s.annotation from [Unique_EC_mapped_to_UniProt] ec join [ssgcid_uniprot.csv] s on (s.uniprot = ec.accession)","SELECT s.ssgcidid,  s.uniprot,  ec.""EC Numbers"",  ec.""Database"" as ec_source,  s.annotation from [Unique_EC_mapped_to_UniProt] ec join [ssgcid_uniprot.csv]  on (s.uniprot = ec.accession)",YES,YES,Missing Alias,s,Alias,15
SELECT  count(*) FROM  [1079].[view_depth_breadth_per_view.csv] where depth = 0,SELECT  count(*) FROM  [1079].[view_depth_breadth_per_view.csv] where depth = 0,NO,NO,N/A,N/A,N/A,0
"select d.DtoA as bad_ones,  u.Container as SetNo,  u.Clone_name as uw_constructID,  u.nt_seq_uncleaved,  u.aa_seq_uncleaved from [table_DtoA_candidates.csv] d left join [table_qryUWExportConstructs.csv] u on (u.Clone_name = d.DtoA)","select d.DtoA as bad_ones,  u.Container as SetNo,  u.Clone_name as uw_constructID,  u.nt_seq_uncleaved,  u.aa_seq_uncleaved from [table_DtoA_candidates.csv] d left join [table_qryUWExportConstructs.csv] u on (u.Clone_name = d.DtoA)",NO,NO,N/A,N/A,N/A,0
"SELECT  InterproEntry,  InterproIdHits,  Interpro_desc_Ox FROM  [826].[PhatrInterproIdsHitCounts] JOIN  [826].[AllOxInterProIds.tab.txt] ON InterproId_Ox = InterproEntry order by InterproIdHits DESC","SELECT  InterproEntry,  ,  Interpro_desc_Ox FROM  [826].[PhatrInterproIdsHitCounts] JOIN  [826].[AllOxInterProIds.tab.txt] ON InterproId_Ox = InterproEntry order by InterproIdHits DESC",YES,YES,Missing Column,InterproIdHits,Column Name,3
select * from tiny_sample,SELECT * tiny_sample,YES,YES,Missing Keyword,from,FROM,3
