SQL_Statement,Question,GPT4,GPT4 Equivalence,GPT3.5,GPT3.5 Equivalence,Llama 3,Llama3 Equivalence,MistralAI,Mistral Equivalence,Gemini,Gemini Equivalence
"SELECT highest_elevation FROM highlow WHERE state_name  =  ""delaware"";",what is the highest elevation in delaware,The query retrieves the highest elevation in the state of Delaware from the highlow table,ok,The query retrieves the highest elevation in the state of Delaware.,ok,This SQL query retrieves the highest elevation of the state of Delaware.,ok,This query retrieves the highest elevation in the state of Delaware.,ok,Retrieves the highest elevation for the state of Delaware.,ok
"SELECT T2.document_type_name FROM All_documents AS T1 JOIN Ref_document_types AS T2 ON T1.document_type_code  =  T2.document_type_code WHERE T1.document_name  =  ""How to read a book""","What is the document type name for the document with name ""How to read a book""?","The query retrieves the document type name for the document titled ""How to read a book"" by joining the All_documents and Ref_document_types tables on the document type code",ok,"The query retrieves the document type name for the document titled ""How to read a book.""",ok,"This SQL query retrieves the document type name for a specific document named ""How to read a book"".",ok,"This query retrieves the document type name for the document named ""How to read a book"".",ok,"Retrieves the document type name for the document titled ""How to read a book"".",ok
SELECT first_name FROM customer WHERE customer_id NOT IN( SELECT customer_id FROM rental WHERE rental_date  >  '2005-08-23 02:06:01' ),What are the first names of customers who have not rented any films after '2005-08-23 02:06:01'?,"The query retrieves the first names of customers who have not made any rentals after August 23, 2005, at 02:06:01, using data from the customer and rental tables",ok,The query retrieves the first names of customers who have not rented any items after '2005-08-23 02:06:01'.,ok,This SQL query retrieves the first names of customers who have not rented anything after the date '2005-08-23 02:06:01'.,ok,This query retrieves the first names of customers who have not rented anything after '2005-08-23 02:06:01'.,ok,"Finds first names of customers who haven't rented anything after August 23, 2005.",ok
SELECT city_code FROM STUDENT GROUP BY city_code ORDER BY count(*) DESC LIMIT 1,What is the city_code of the city that the most students live in?,"The query identifies the city code with the highest number of students, grouping the results by city code from the STUDENT table",ok,The query retrieves the city code with the highest number of students.,ok,This SQL query retrieves the city code with the most students.,ok,This query retrieves the `city_code` of the city with the most students.,ok,Finds the city code with the highest number of students.,ok
SELECT DISTINCT order_id FROM orders ORDER BY date_order_placed,List the ids of all distinct orders ordered by placed date.,"The query retrieves distinct order IDs from the orders table, ordered by the date each order was placed",ok,"The query retrieves distinct order IDs, sorted by the date they were placed.",ok,"This SQL query retrieves a list of unique order IDs from the orders table, in the order they were placed.",ok,"This query retrieves distinct `order_id` values from the `orders` table, ordered by `date_order_placed`.",ok,Retrieves unique order IDs sorted by order date.,ok
"SELECT DISTINCT t1.title FROM papers AS t1 JOIN authorship AS t2 ON t1.paperid  =  t2.paperid JOIN inst AS t3 ON t2.instid  =  t3.instid WHERE t3.name  =  ""Indiana University""","What are the papers published under the institution ""Indiana University""?","The query retrieves distinct titles of papers authored by individuals affiliated with Indiana University, by joining the papers, authorship, and inst tables",ok,"The query retrieves distinct paper titles authored by individuals affiliated with ""Indiana University.""",ok,"This SQL query retrieves a list of unique paper titles written by authors affiliated with ""Indiana University"".",ok,"This query retrieves distinct titles of papers authored by individuals affiliated with ""Indiana University"".",ok,"This query retrieves distinct paper titles written by authors affiliated with ""Indiana University""",ok
"SELECT T1.organisation_id ,  count(*) FROM Projects AS T1 JOIN Project_outcomes AS T2 ON T1.project_id  =  T2.project_id GROUP BY T1.organisation_id ORDER BY count(*) DESC LIMIT 1","List the organisation id with the maximum outcome count, and the count.","The query identifies the organisation with the most projects, by joining the Projects and Project_outcomes tables and grouping the results by organisation ID",ok,The query retrieves the organization ID with the highest number of project outcomes.,ok,This SQL query retrieves the organisation ID with the most project outcomes.,ok,This query retrieves the `organisation_id` with the most project outcomes and the count of those outcomes.,ok,Finds the organization with the most project outcomes.,ok
SELECT Author FROM submission WHERE Submission_ID NOT IN (SELECT Submission_ID FROM acceptance),List the authors who do not have submission to any workshop.,"The query retrieves the authors of submissions that have not been accepted, using data from the submission and acceptance tables",ok,The query retrieves authors of submissions that have not been accepted.,ok,This SQL query retrieves the names of authors who have not had their submissions accepted.,ok,This query retrieves the authors of submissions that have not been accepted.,ok,Retrieves the authors of submissions that have not been accepted.,ok
SELECT t3.name FROM record AS t1 JOIN event AS t2 ON t1.event_id  =  t2.id JOIN stadium AS t3 ON t3.id  =  t2.stadium_id GROUP BY t2.stadium_id ORDER BY count(*) DESC LIMIT 1 (db_id = swimming),Find the names of stadiums that the most swimmers have been to.,This query retrieves the name of the stadium that hosted the most events from the swimming database,ok,This query returns the stadium name with the most events from the swimming database,ok,This query retrieves the name of the stadium that has hosted the most events in the swimming database.,ok,This query retrieves the name of the stadium with the most events from the 'swimming' database.,ok,This SQL query finds the stadium with the most swimming records.,ok
"SELECT Date_of_ceremony ,  RESULT FROM music_festival",Return the dates of ceremony and the results of all music festivals,The query retrieves the dates of ceremonies and their results from the music_festival table,ok,The query retrieves the date of the ceremony and the result from the music festival records.,ok,"This SQL query retrieves the date of the ceremony and the result from the ""music_festival"" table.",ok,This query retrieves the `Date_of_ceremony` and `RESULT` from the `music_festival` table.,ok,This query will retrieve the Date_of_ceremony and RESULT columns from the music_festival table.,ok
"SELECT avg(acc_bal) ,  acc_type FROM customer WHERE credit_score  <  50 GROUP BY acc_type","For each account type, find the average account balance of customers with credit score lower than 50.","The query calculates the average account balance for each account type among customers with a credit score below 50, grouping the results by account type in the customer table",ok,"The query calculates the average account balance for each account type, where the credit score is below 50.",ok,This SQL query calculates the average account balance for each account type (acc_type) for customers with a credit score less than 50.,ok,This query calculates the average account balance (`acc_bal`) for each account type (`acc_type`) among customers with a credit score less than 50. The results are grouped by `acc_type`.,ok,This query calculates the average account balance (acc_bal) for each account type (acc_type) where the customer's credit score is less than 50.,ok
SELECT T2.decor FROM Reservations AS T1 JOIN Rooms AS T2 ON T1.Room  =  T2.RoomId GROUP BY T2.decor ORDER BY count(T2.decor) ASC LIMIT 1;,What kind of decor has the least number of reservations?,"The query identifies the least common decor style in rooms based on reservations, by joining the Reservations and Rooms tables and grouping the results by decor",ok,The query retrieves the least common room decor style from reservations.,ok,"This SQL query retrieves the most common decoration type (decor) in the Rooms table, based on the number of reservations for each decoration type.",it did not say the least number of reservation,This query retrieves the decor type that has been reserved the least number of times.,ok,This query finds the least popular room decor among reservations.,ok
"SELECT order_id ,  count(*) FROM Invoices GROUP BY order_id",Show the order ids and the number of invoices for each order.,"The query retrieves each order ID and the count of its corresponding invoices from the Invoices table, grouped by order ID",ok,The query counts the number of invoices for each order ID.,ok,This SQL query counts the number of invoices for each order_id.,ok,"This query retrieves the `order_id` and the count of invoices for each `order_id` from the `Invoices` table, grouped by `order_id`.",ok,This query counts the number of invoices for each order ID.,ok
SELECT * FROM Assessment_Notes ORDER BY date_of_notes ASC,List all information about the assessment notes sorted by date in ascending order.,The query retrieves all records from the Assessment_Notes table and orders them by the date of the notes in ascending order,ok,"The query retrieves all records from the `Assessment_Notes` table, sorted by the date of the notes in ascending order.",ok,"This SQL query retrieves all records from the Assessment_Notes table, sorted in ascending order by the date_of_notes column.",ok,This query retrieves all columns from the `Assessment_Notes` table and orders the results by `date_of_notes` in ascending order.,ok,This query selects all columns (*) from the Assessment_Notes table and orders the results by the date_of_notes column in ascending order (oldest to newest).,ok
"SELECT customer_id ,  customer_name FROM customers ORDER BY customer_id ASC",List all the customers in increasing order of IDs.,"The query retrieves customer IDs and names from the customers table, ordering the results in ascending order by customer ID",ok,"The query retrieves customer IDs and names, sorted by customer ID in ascending order.",ok,"This SQL query retrieves the customer ID and customer name from the customers table, sorted in ascending order by the customer ID.",ok,"This query retrieves the `customer_id` and `customer_name` from the `customers` table, ordered by `customer_id` in ascending order.",ok,This query retrieves the customer ID and customer name from the 'customers' table and sorts the results in ascending order based on the customer ID.,ok
SELECT DISTINCT pName FROM Player WHERE pName LIKE '%a%',Find the players whose names contain letter 'a'.,The query retrieves distinct player names that contain the letter 'a' from the Player table,ok,"The query retrieves distinct player names that contain the letter ""a"".",ok,"This SQL query retrieves all unique player names (pName) from the Player table that contain the letter ""a"".",ok,This query retrieves distinct player names (`pName`) from the `Player` table where the name contains the letter 'a'.,ok,This query retrieves all unique player names (pName) from the 'Player' table that contain the letter 'a'.,ok
"SELECT DISTINCT t2.paperid FROM paperdataset AS t3 JOIN dataset AS t5 ON t3.datasetid  =  t5.datasetid JOIN paperkeyphrase AS t4 ON t4.paperid  =  t3.paperid JOIN paper AS t2 ON t2.paperid  =  t3.paperid JOIN venue AS t6 ON t6.venueid  =  t2.venueid JOIN keyphrase AS t1 ON t4.keyphraseid  =  t1.keyphraseid WHERE t5.datasetname  =  ""Jeopardy! Questions"" AND t1.keyphrasename  =  ""Parsing"" AND t2.year  =  2014 AND t6.venuename  =  ""ACL"";",which ACL 2014 papers about Parsing used Jeopardy! Questions ?,"The query retrieves distinct paper IDs for papers from the year 2014, associated with the dataset ""Jeopardy! Questions"" and keyphrase ""Parsing"", presented at the ""ACL"" venue. The query involves joins across several tables: paperdataset, dataset, paperkeyphrase, paper, venue, and keyphrase",ok,"The query retrieves distinct paper IDs for papers from 2014 with keyphrase ""Parsing"" in the dataset ""Jeopardy! Questions"" and venue ""ACL.""",ok,"This SQL query retrieves distinct paper IDs from specific tables, filtering by dataset name, keyphrase name, year, and venue name.",ok,"This query retrieves distinct paper IDs from papers published in 2014 at the ""ACL"" venue, with the keyphrase ""Parsing"" and dataset ""Jeopardy! Questions"".",ok,"This query identifies unique paper IDs from the paperdataset that have been associated with the dataset ""Jeopardy! Questions,"" the keyphrase ""Parsing,"" were published in 2014, and were presented at the venue ""ACL.""",ok
SELECT Name FROM manager ORDER BY LEVEL ASC,What are the names of managers in ascending order of level?,"The query retrieves the names of managers from the manager table, ordering them by their hierarchical level in ascending order",ok,The query retrieves manager names sorted by their level in ascending order.,ok,"This SQL query retrieves the names of managers, sorted in ascending order by their level.",ok,"This query retrieves the `Name` of managers from the `manager` table, ordered by `LEVEL` in ascending order.",ok,This query retrieves the names of all managers from the 'manager' table and sorts them in ascending order based on their 'LEVEL' column.,ok
SELECT DISTINCT city FROM addresses,Show all distinct cities in the address record.,The query retrieves unique city names from the addresses table,ok,The query retrieves distinct cities from the `addresses` table.,ok,This SQL query retrieves a list of unique cities from the addresses table.,ok,This query retrieves distinct city names from the `addresses` table.,ok,This query retrieves a list of unique city names from the 'addresses' table.,ok
"SELECT DISTINCT t2.paperid FROM paper AS t2 JOIN journal AS t1 ON t2.journalid  =  t1.journalid WHERE t1.journalname  =  ""Academic radiology"" AND t2.year  =  1995;",what papers were published in Academic radiology in 1995 ?,"The query retrieves distinct paper IDs for papers published in 1995 in the journal named ""Academic Radiology,"" by joining the paper and journal tables",ok,"The query retrieves distinct paper IDs from the journal ""Academic Radiology"" published in 1995.",ok,"This SQL query retrieves a list of unique paper IDs from the paper table, where the journal name is ""Academic Radiology"" and the year is 1995.",ok,"This query retrieves distinct paper IDs from the `paper` table for papers published in the journal ""Academic radiology"" in the year 1995.",ok,"Unique papers from ""Academic radiology"" in 1995.",ok
"SELECT T2.type ,  count(*) FROM school_bus AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id GROUP BY T2.type",Show the type of school and the number of buses for each type.,The query retrieves the types of schools and counts the number of school buses associated with each type by joining the school_bus and school tables and grouping the results by school type,ok,The query counts the number of school buses for each school type.,ok,This SQL query counts the number of school buses for each type of school.,ok,"This query retrieves the type of schools and the count of school buses associated with each type, grouped by school type.",ok,Counts the number of schools per school type.,ok
SELECT rid FROM routes WHERE dst_apid IN (SELECT apid FROM airports WHERE country  =  'United States') AND src_apid IN (SELECT apid FROM airports WHERE country  =  'United States'),Find the id of routes whose source and destination airports are in the United States.,"The query retrieves the route IDs (rid) for routes where both the destination and source airports are located in the United States, using the routes and airports tables",ok,The query retrieves route IDs where both the source and destination airports are located in the United States.,ok,This SQL query retrieves route IDs where both destination and source airports are in the US.,ok,This query retrieves route IDs (`rid`) from the `routes` table where both the destination airport (`dst_apid`) and the source airport (`src_apid`) are located in the United States.,ok,Finds route IDs for domestic US flights.,ok
SELECT cust_name FROM customer EXCEPT SELECT T1.cust_name FROM customer AS T1 JOIN loan AS T2 ON T1.cust_id  =  T2.cust_id WHERE T2.loan_type  =  'Mortgages',Find the name of customers who do not have a loan with a type of Mortgages.,"The query retrieves the names of customers who do not have a mortgage, by excluding those listed in the loan table with a loan type of ""Mortgages""",ok,The query retrieves customer names who do not have a mortgage loan.,ok,This SQL query retrieves customer names from the customer table that are not associated with mortgages.,ok,This query retrieves the names of customers who have not taken out a mortgage loan.,ok,Customers without mortgages.,ok
"SELECT city ,  state FROM bank WHERE bname  =  'morningside'",Find the city and state of the bank branch named morningside.,The query retrieves the city and state locations of branches for the bank named 'Morningside' from the bank table,ok,"The query retrieves the city and state for the bank named ""Morningside.""",ok,This SQL query retrieves the city and state information from the bank table where the bank name is 'orningside'.,ok,This query retrieves the city and state of banks named 'morningside'.,ok,Retrieves city and state for banks named 'morningside'.,ok
SELECT catalog_publisher FROM catalogs GROUP BY catalog_publisher ORDER BY count(*) DESC LIMIT 1,Which catalog publisher has published the most catalogs?,"The query identifies the catalog publisher with the most catalogs listed in the catalogs table, grouping by publisher and ordering by count in descending order",ok,The query retrieves the catalog publisher with the highest number of catalogs.,ok,This SQL query retrieves the publisher of the catalog that has published the most items.,ok,This query retrieves the catalog publisher with the most entries in the catalogs table.,ok,Finds the catalog publisher with the most catalogs.,ok
"SELECT T1.id ,  count(*) FROM stadium AS T1 JOIN game AS T2 ON T1.id  =  T2.stadium_id GROUP BY T1.id",How many games has each stadium held?,"The query retrieves each stadium ID and the count of games played in each stadium, by joining the stadium and game tables and grouping the results by stadium ID",ok,The query counts the number of games held at each stadium and groups the results by stadium ID.,ok,This SQL query retrieves the ID of each stadium and the count of games held at each stadium.,ok,This query retrieves the ID of each stadium and the count of games held in each stadium.,ok,This query counts the number of games played at each stadium.,ok
SELECT T2.address FROM staff AS T1 JOIN address AS T2 ON T1.address_id  =  T2.address_id WHERE T1.first_name  =  'Elsa',Where does the staff member with the first name Elsa live?,The query retrieves the address for staff members named 'Elsa' by joining the staff and address tables on the address ID,ok,"The query retrieves addresses for staff members named ""Elsa.""",ok,SELECT T2.address FROM staff AS T1 JOIN address AS T2 ON T1.address_id  =  T2.address_id WHERE T1.first_name  =  'Elsa',ok,This query retrieves the address of staff members whose first name is 'Elsa'.,ok,This query retrieves the address of the staff member named Elsa.,ok
