SQL Statement,Modified_Statement,Original,Error_Category
SELECT  * FROM  [790].[table_PhoneBook.csv] where [name]='Sara',SELECT  * FROM  [790].[table_PhoneBook.csv] where [name]='Sara',NO,NO Error
SELECT  * FROM  [826].[deUrea_BH.csv] where logFC < 0 and BH < 0.0001,"SELECT * 
FROM [826].[deUrea_BH.csv] 
WHERE logFC = (SELECT logFC FROM [826].[deUrea_BH.csv] WHERE BH < 0.05);",YES,type-mismatch-nested
"SELECT  [entry NO.] as [C3.2 entry NO.], [protein] AS [C3.2 protein], [protein probability] AS [C3.2 protein probability], [protein description] AS [C3.2 protein description], [percent coverage] AS [C3.2 percent coverage], [tot indep spectra] AS [C3.2 tot indep spectra], [percent share of spectrum IDs] AS [C3.2 percent share of spectrum IDs], [peptides] as [C3.2 peptides] FROM  [412].[table_interact-2015_May_6_Bacteria_Detection89_150512121311.prot.xls]","SELECT  [entry NO.] as [C3.2 entry NO.], [protein] AS [C3.2 protein], [protein probability] AS [C3.2 protein probability], [protein description] AS [C3.2 protein description], [percent coverage] AS [C3.2 percent coverage], [tot indep spectra] AS [C3.2 tot indep spectra], [percent share of spectrum IDs] AS [C3.2 percent share of spectrum IDs], [peptides] as [C3.2 peptides] FROM  [412].[table_interact-2015_May_6_Bacteria_Detection89_150512121311.prot.xls]",NO,NO Error
"SELECT  [DMY]/10000 AS day1, ([DMY]%10000)/100 AS month, ([DMY]%100) AS year, [HMS]/10000 as hour, ([HMS]%10000)/100 as minute, ([HMS]%100) as second, LAT, LON, SALINITY, [OCEAN.TEMP],  day,  [file] FROM  [1057].[table_MBARI_1_sds.csv] WHERE  ISNUMERIC(DMY)<>0 AND  ISNUMERIC(HMS)<>0","SELECT 
  [DMY]/10000 AS day1, 
  ([DMY]%10000)/100 AS month, 
  ([DMY]%100) AS year, 
  [HMS]/10000 AS hour, 
  ([HMS]%10000)/100 AS minute, 
  ([HMS]%100) AS second, 
  LAT, LON, SALINITY, [OCEAN.TEMP], day, [file] 
FROM 
  [1057].[table_MBARI_1_sds.csv] 
WHERE 
  LAT = (SELECT LAT FROM [1057].[table_MBARI_1_sds.csv] WHERE SALINITY > 35);",YES,type-mismatch-nested
SELECT  * FROM  [1123].[TJGR_geNOmic_gene.txt] Where gID = 'CGI_10000088',SELECT  * FROM  [1123].[TJGR_geNOmic_gene.txt] Where gID = 'CGI_10000088',NO,NO Error
SELECT  * FROM  [1123].[qDOD_scaffold_sequence.txt] Where Column1 = 'scaffold29146',SELECT  * FROM  [1123].[qDOD_scaffold_sequence.txt] Where Column1 = 'scaffold29146',NO,NO Error
SELECT  * FROM  [1123].[OlyO transcriptome v3 swiss-prot Blast]oly left join [1123].[uniprot-reviewed_wGO_010714]up on oly.Column1=up.Entry,"SELECT * 
FROM [1123].[OlyO transcriptome v3 swiss-prot Blast] AS oly 
LEFT JOIN [1123].[uniprot-reviewed_wGO_010714] AS up 
ON oly.Column1 = up.Entry
ORDER BY Column1",YES,alias-ambiguous
"SELECT [protein] AS [protein19], [protein probability] AS [protein probability19], [percent coverage] AS [percent coverage19], [tot indep spectra] AS [tot indep spectra19], [peptides] AS [peptides19] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea19.prot.xls] WHERE  [tot indep spectra]>1","SELECT [protein] AS [protein19], 
       [protein probability] AS [protein probability19], 
       [percent coverage] AS [percent coverage19], 
       [tot indep spectra] AS [tot indep spectra19], 
       [peptides] AS [peptides19] 
FROM [412].[table_Prophet_2014_Sept_08_BeringSea19.prot.xls] 
WHERE [tot indep spectra] > 1
HAVING COUNT([protein]) > 5;",YES,aggr-having
SELECT  * FROM  [1123].[fish546_module1_blast_table] INNER JOIN  [1123].[associations_uni_swisspro_012410] ON [1123].[fish546_module1_blast_table].SPID=[1123].[associations_uni_swisspro_012410].ID,"SELECT * 
FROM [1123].[fish546_module1_blast_table] 
INNER JOIN [1123].[associations_uni_swisspro_012410] 
ON [1123].[fish546_module1_blast_table].SPID = (
    SELECT ID 
    FROM [1123].[associations_uni_swisspro_012410] 
    WHERE Description LIKE '%protein%'
);",YES,type-mismatch-nested
"SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) AS [UnixTimestamp] ,  CAST([LAT] AS VARCHAR) AS [LAT] ,  CAST([LON] AS VARCHAR) AS [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  CAST([SALINITY] AS VARCHAR) AS [SALINITY] --  ,  CAST([OCEAN.TEMP] AS VARCHAR) AS [OCEAN.TEMP] --  ,  CAST([BULK.RED] AS VARCHAR) AS [BULK.RED] --  ,  CAST([STREAM.PRESSURE] AS VARCHAR) AS [STREAM.PRESSURE] --  ,  CAST([FILTER.PRESSURE] AS VARCHAR) AS [FILTER.PRESSURE] --  ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] --  ,  CAST([Xaccel] AS VARCHAR) AS [Xaccel] --  ,  CAST([Yaccel] AS VARCHAR) AS [Yaccel] --  ,  CAST([Zaccel] AS VARCHAR) AS [Zaccel] --  ,  CAST([MILLISECOND.TIMER] AS VARCHAR) AS [MILLISECOND.TIMER] --  ,  CAST([LASER.POWER] AS VARCHAR) AS [LASER.POWER] --  ,  CAST([EVENT.RATE] AS VARCHAR) AS [EVENT.RATE] --  ,  CAST([FLOW.METER] AS VARCHAR) AS [FLOW.METER] --  ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] --  ,  CAST([CHL] AS VARCHAR) AS [CHL] --  ,  CAST([Light.Trans] AS VARCHAR) AS [Light.Trans] --  ,  CAST([acq.Error] AS VARCHAR) AS [acq.Error] --  ,  CAST([D1.D2] AS VARCHAR) AS [D1.D2] --  ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR] END AS [PAR] --  ,  CASE WHEN [time] = 'NA' THEN NULL ELSE [time] END AS [time] --   ,  CASE WHEN [day] = 'NA' THEN NULL ELSE [day] END AS [day] --  ,  CAST([file] AS VARCHAR) AS [file] --  ,  CASE WHEN [DMY] = 'NA' THEN NULL ELSE [DMY] END AS [DMY] --  ,  CASE WHEN [HMS] = 'NA' THEN NULL ELSE [HMS] END AS [HMS] FROM  [1059].[sds.tab] --ORDER BY  [UnixTimestamp] ASC","SELECT  
    CAST(z.[Time] AS Datetime) AS [DateTime],  
    DATEDIFF(SECOND, {d '1970-01-01'}, CAST(z.[Time] AS Datetime)) AS [UnixTimestamp],  
    CAST(z.[LAT] AS VARCHAR) AS [LAT],  
    CAST(z.[LON] AS VARCHAR) AS [LON],  
    CASE WHEN z.[CONDUCTIVITY] = 'NA' THEN NULL ELSE z.[CONDUCTIVITY] END AS [CONDUCTIVITY],  
    CAST(z.[SALINITY] AS VARCHAR) AS [SALINITY]
FROM  
    [1059].[sds.tab];",YES,alias-undefined
"SELECT  [Saito_Id] ,  CASE WHEN [Identified Proteins] = '#NO Error' THEN NULL ELSE [Identified Proteins] END AS [Identified Proteins] ,  CASE WHEN [Accession] = '#NO Error' THEN NULL ELSE [Accession] END AS [Accession] ,  CASE WHEN [BLAST_NR ANNOTATION] = '#NO Error' THEN NULL ELSE [BLAST_NR ANNOTATION] END AS [Accession] ,  [BLAST NR OR GANISM] ,  [BLAST Microbial P col1] ,  [BLAST Microbial P col2] ,  [Molecular Weight] ,  [(G13) S1-15m] ,  [(G14)-S1-40m] ,  [(G15)-S1-70m] ,  [(G10)-S4-45m] ,  [(G11)-S4-65m] ,  [(G2)-S8-33m] ,  [(G3)-S8-70m] ,  [(G6)-S6-15m] ,  [(G7)-S6-45m] FROM  [446].[table_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]","SELECT  [Saito_Id] ,  CASE WHEN [Identified Proteins] = '#NO Error' THEN NULL ELSE [Identified Proteins] END AS [Identified Proteins] ,  CASE WHEN [Accession] = '#NO Error' THEN NULL ELSE [Accession] END AS [Accession] ,  CASE WHEN [BLAST_NR ANNOTATION] = '#NO Error' THEN NULL ELSE [BLAST_NR ANNOTATION] END AS [Accession] ,  [BLAST NR OR GANISM] ,  [BLAST Microbial P col1] ,  [BLAST Microbial P col2] ,  [Molecular Weight] ,  [(G13) S1-15m] ,  [(G14)-S1-40m] ,  [(G15)-S1-70m] ,  [(G10)-S4-45m] ,  [(G11)-S4-65m] ,  [(G2)-S8-33m] ,  [(G3)-S8-70m] ,  [(G6)-S6-15m] ,  [(G7)-S6-45m] FROM  [446].[table_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]",NO,NO Error
SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [101B_2_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_01.txt].proteinCG2_01 LEFT JOIN  [101B_2_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_02.txt].proteinCG2_02 LEFT JOIN  [101B_2_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_03.txt].proteinCG2_03 LEFT JOIN  [101B_5_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_01.txt].proteinCG5_01 LEFT JOIN  [101B_5_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_02.txt].proteinCG5_02 LEFT JOIN  [101B_5_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_03.txt].proteinCG5_03 LEFT JOIN  [101B_8_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_01.txt].proteinCG8_01 LEFT JOIN  [101B_8_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_02.txt].proteinCG8_02,SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [101B_2_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_01.txt].proteinCG2_01 LEFT JOIN  [101B_2_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_02.txt].proteinCG2_02 LEFT JOIN  [101B_2_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_2_03.txt].proteinCG2_03 LEFT JOIN  [101B_5_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_01.txt].proteinCG5_01 LEFT JOIN  [101B_5_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_02.txt].proteinCG5_02 LEFT JOIN  [101B_5_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_5_03.txt].proteinCG5_03 LEFT JOIN  [101B_8_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_01.txt].proteinCG8_01 LEFT JOIN  [101B_8_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[101B_8_02.txt].proteinCG8_02,NO,NO Error
"SELECT  [time],  attenuation FROM ( SELECT  [time],  attenuation FROM [1059].[CSTAR_VIEW] ) AS subbie","SELECT [time], attenuation 
FROM (
    SELECT [time], attenuation 
    FROM [1059].[CSTAR_VIEW]
) AS subbie
WHERE [time] = (SELECT [time] FROM [1059].[CSTAR_VIEW] WHERE attenuation > 0.1);",YES,type-mismatch-nested
"SELECT  GeneModel,  UniqueProteinId,  InterproEntry,  InterPro_desc,  count(*) FROM  [826].[FracyInterProScan_NONULL] GROUP BY  GeneModel,  UniqueProteinId,  InterproEntry,  InterPro_desc","SELECT 
    GeneModel, 
    UniqueProteinId, 
    InterproEntry, 
    InterPro_desc,
    COUNT(*) AS TotalCount,
    MAX(UniqueProteinId) AS MaxProteinId  -- Using MAX on a column already in GROUP BY
FROM  
    [826].[FracyInterProScan_NONULL]
GROUP BY  
    GeneModel, 
    UniqueProteinId, 
    InterproEntry, 
    InterPro_desc;",YES,aggr-attribute
"SELECT  sql_query,  sql_query_hash,  x_col_name,  y_col_name ,  vizlet_type,  count(*) as score FROM  [1307].[vizlets_23NOv11_10h34m16s_vizlet_and_action_features.csv] WHERE  action = 'promote' GROUP BY  sql_query,  sql_query_hash,  x_col_name,  y_col_name ,  vizlet_type","SELECT 
    sql_query, 
    sql_query_hash, 
    x_col_name, 
    y_col_name, 
    vizlet_type, 
    COUNT(CAST(sql_query AS INT)) as score -- Error: Casting a likely text column to an INT
FROM 
    [1307].[vizlets_23NOv11_10h34m16s_vizlet_and_action_features.csv]
WHERE 
    action = 'promote'
GROUP BY 
    sql_query, 
    sql_query_hash, 
    x_col_name, 
    y_col_name, 
    vizlet_type;",YES,type-mismatch-condition
"SELECT  'arboretum' as datasource ,  Obs_id ,  NULL as species_code ,  species as common_name ,  NULL as scientific_name ,  q as questionable ,  st as state ,  Co as county ,  convert(datetime,  [date]) as date","SELECT 
  'arboretum' as datasource, 
  Obs_id, 
  NULL as species_code, 
  species as common_name, 
  NULL as scientific_name, 
  q as questionable, 
  st as state, 
  Co as county, 
  convert(datetime, (SELECT [date] FROM YourTable WHERE condition_that_returns_multiple_rows)) as date
FROM 
  YourDataSource",YES,type-mismatch-nested
SELECT  * FROM  [188].[table_ec_pathway.csv] where ec_number is null,"SELECT *
FROM [188].[table_ec_pathway.csv] AS ec
LEFT JOIN [188].[other_table] AS ot
ON ec.ec_number = ot.ec_number
WHERE ec_number IS NULL",YES,alias-ambiguous
"SELECT  LAT,  LON,  [file],  [OCEAN.TEMP],  SALINITY,  day,  [BULK.RED], convert(date,  DMY,  101) as DMY, convert(date,  HMS,  103) as HMS FROM  [1057].[Thompson4_sds.tab]","SELECT 
    LAT, 
    LON, 
    [file], 
    [OCEAN.TEMP], 
    SALINITY, 
    day, 
    [BULK.RED], 
    CONVERT(date, DMY, 101) as DMY,  -- Assuming DMY is in MM/DD/YYYY which matches style 101
    CONVERT(date, SALINITY, 103) as HMS 
FROM 
    [1057].[Thompson4_sds.tab];",YES,type-mismatch-condition
"SELECT  TOP 10 a.fullname,  count(*) as c FROM   [1143].[author] a, [1143].[authored] b, [1143].[inproceedings] p WHERE  a.fullname = b.fullname and b.pubID = p.id and p.booktitle='NSDI' and NOt exists (SELECT  * FROM  [1143].[authored] b2, [1143].[inproceedings] p2 WHERE  a.fullname = b2.fullname and b2.pubID = p2.id and p2.booktitle='SIGCOMM') GROUP BY  a.fullname ORDER BY  c DESC","SELECT  TOP 10 a.fullname,  count(*) as c FROM   [1143].[author] a, [1143].[authored] b, [1143].[inproceedings] p WHERE  a.fullname = b.fullname and b.pubID = p.id and p.booktitle='NSDI' and NOt exists (SELECT  * FROM  [1143].[authored] b2, [1143].[inproceedings] p2 WHERE  a.fullname = b2.fullname and b2.pubID = p2.id and p2.booktitle='SIGCOMM') GROUP BY  a.fullname ORDER BY  c DESC",NO,NO Error
"SELECT  one.pdb_id,  one.res_type,  two.res_type FROM  [1267].[h2_w_NOgaps_2.csv] one,  [1267].[h2_w_NOgaps_2.csv] two WHERE  one.pdb_id = two.pdb_id   AND  one.chain = two.chain AND  one.res_index = two.res_index + 1 AND  (two.res_surface_area_ratio > 0.3   OR  one.res_surface_area_ratio > 0.3)","SELECT 
    one.pdb_id,
    res_type,  -- Ambiguously referencing res_type without specifying the alias
    two.res_type
FROM 
    [1267].[h2_w_NOgaps_2.csv] one,
    [1267].[h2_w_NOgaps_2.csv] two 
WHERE 
    one.pdb_id = two.pdb_id AND
    one.chain = two.chain AND
    one.res_index = two.res_index + 1 AND
    (two.res_surface_area_ratio > 0.3 OR one.res_surface_area_ratio > 0.3)",YES,alias-ambiguous
SELECT  * FROM  [412].[protpeps] LEFT JOIN  [prot data all] --could use join ON [protpeps].[peptide sequence]=[prot data all].[peptide sequence],"SELECT  * 
FROM  [412].[protpeps] p
LEFT JOIN  [prot data all] d
--could use join
ON p.[peptide sequence] = x.[peptide sequence];",YES,alias-undefined
"SELECT  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM,  YEAR,  MONTH,  DAY_OF_MONTH,  COUNT(*) FROM  [372].[flights09] GROUP BY  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM,  YEAR,  MONTH,  DAY_OF_MONTH","SELECT  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM,  YEAR,  MONTH,  DAY_OF_MONTH,  COUNT(*) FROM  [372].[flights09] GROUP BY  ORIGIN,  DEST,  TAIL_NUM,  FL_NUM,  YEAR,  MONTH,  DAY_OF_MONTH",NO,NO Error
"WITH  tmp AS (SELECT  stations.*, underway.* FROM  [446].[Underway_GeoMICS.csv] underway JOIN  [446].[Stations] stations ON sqrt( power(stations.[Latitude..Decimal.deg.] - underway.[lat.degN], 2) + power(stations.[Longitude..Decimal.deg.] - underway.[long.degW]-360, 2)) < 0.1) SELECT  DISTINCT Station FROM  tmp","WITH tmp AS (
    SELECT stations.*, underway.* 
    FROM [446].[Underway_GeoMICS.csv] underway 
    JOIN [446].[Stations] stations 
    ON sqrt( power(stations.[Latitude..Decimal.deg.] - (SELECT lat.degN FROM [446].[Underway_GeoMICS.csv] WHERE ConditionThatReturnsMultipleRows), 2) 
    + power(stations.[Longitude..Decimal.deg.] - underway.[long.degW]-360, 2)) < 0.1
) 
SELECT DISTINCT Station 
FROM tmp;",YES,type-mismatch-nested
SELECT  sum(Total_Amount_of_Payment_USDollars) FROM  [1079].[OPPR_ALL_DTL_GNRL_093020141.csv],SELECT  sum(Total_Amount_of_Payment_USDollars) FROM  [1079].[OPPR_ALL_DTL_GNRL_093020141.csv],NO,NO Error
"SELECT  * FROM  [ssgcid_EC_map] WHERE  ec_number in ('5.3.3.4', '5.4.99.14', '5.5.1.7')","SELECT  * FROM  [ssgcid_EC_map] WHERE  ec_number in ('5.3.3.4', '5.4.99.14', '5.5.1.7')",NO,NO Error
SELECT  query FROM  [sqlshare].[1385_query_log] WHERE  status = 'success' and query like '%( select%' or query like '%(select%',"SELECT query as status, status as query 
FROM [sqlshare].[1385_query_log]
WHERE status = 'success' AND query like '%( select%' OR status like '%(select%'",YES,alias-ambiguous
"SELECT  GO.*,  KEGG.*  FROM  [826].[Psemu1_GO_TranscriptIds_added.tab.txt] GO left outer join [826].[table_Psemu1_KEGG_TranscriptIds_added.tab.txt] KEGG on GO.transcriptId = KEGG.transcriptId","SELECT GO.*, 
       KEGG.*
FROM [826].[Psemu1_GO_TranscriptIds_added.tab.txt] GO 
LEFT OUTER JOIN [826].[table_Psemu1_KEGG_TranscriptIds_added.tab.txt] KEGG 
ON GO.transcriptId = KEGG.transcriptId
HAVING COUNT(GO.transcriptId) > 1;",YES,aggr-having
SELECT  * FROM  [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)] where CGI_ID like 'CGI_10027416',"SELECT *
FROM [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)]
WHERE CAST(CGI_ID AS INT) = 'CGI_10027416'; ",YES,type-mismatch-condition
SELECT  * FROM  [1017].[matched_DEGs_IFheads_2] where heads='~FBgn',"SELECT COUNT(*), * 
FROM [1017].[matched_DEGs_IFheads_2] 
WHERE heads LIKE '%~FBgn%';",YES,aggr-attribute
SELECT  * FROM  [1267].[cph2_w_1.csv] WHERE  gaps = 0,"SELECT *
FROM [1267].[cph2_w_1.csv]
WHERE CAST(gaps AS VARCHAR) = 0;  ",YES,type-mismatch-condition
"SELECT  floor(latitude/0.7)*0.7 as latbin ,  floor(longitude/0.7)*0.7 as lonbin ,  floor(0.12/0.7)*0.7 ,  species FROM  [690].[All3col]","SELECT 
    floor(latitude / 0.7) * 0.7 as latbin,
    floor(longitude / 0.7) * 0.7 as lonbin,
    floor(CAST(species AS FLOAT) / 0.7) * 0.7,
    species 
FROM 
    [690].[All3col];",YES,type-mismatch-condition
"SELECT  Distinct A0A000 as SPID, ""GO:0003824"" as GOID FROM  [354].[SPID_GOnumber.txt]","SELECT DISTINCT 
    (SELECT A0A000 FROM [354].[SPID_GOnumber.txt] WHERE ConditionThatReturnsMultipleRows) as SPID, 
    ""GO:0003824"" as GOID 
FROM [354].[SPID_GOnumber.txt];",YES,type-mismatch-nested
"select pathway_name,  s.genus,  count(distinct ec.ec_number) from [ec_pathway.csv] ec join [ssgcid_EC_map] s on (s.""EC Numbers"" = ec.ec_number) where pathway_name is NOt null group by pathway_name,  s.genus","SELECT pathway_name, 
       s.genus, 
       COUNT(DISTINCT ec.ec_number)
FROM [ec_pathway.csv] ec 
JOIN [ssgcid_EC_map] s 
  ON (s.""EC Numbers"" = ec.ec_number) 
WHERE pathway_name IS NOT NULL 
GROUP BY pathway_name, s.genus
HAVING COUNT(ec.ec_number) > 10;",YES,aggr-having
select count(*) from 1385s,SELECT COUNT(*) FROM 1385s WHERE 'data' = 100;,YES,type-mismatch-condition
"SELECT  vizlet_type,  avg(score) ,  avg(x_kurtosis),  avg(y_kurtosis) ,  avg(x_coeff_var),  avg(y_coeff_var) ,  avg(x_gap_variance) ,  avg(x_unique_ratio) FROM  [1314howe].[Vizlet Scores and Features] WHERE  score > 0 GROUP BY  vizlet_type","SELECT  vizlet_type,  avg(score) ,  avg(x_kurtosis),  avg(y_kurtosis) ,  avg(x_coeff_var),  avg(y_coeff_var) ,  avg(x_gap_variance) ,  avg(x_unique_ratio) FROM  [1314howe].[Vizlet Scores and Features] WHERE  score > 0 GROUP BY  vizlet_type",NO,NO Error
SELECT  * FROM  [1057].[table_sds_2.tab],"SELECT  * 
FROM  [1057].[table_sds_2.tab] x
WHERE  y.column_name = 'some_value';",YES,alias-undefined
SELECT  * FROM  [412].[cddanNOt.txt] where [CD accession] like 'cd05047',"SELECT COUNT(*), [CD accession] 
FROM [412].[cddanNOt.txt] 
WHERE [CD accession] LIKE '%cd05047%' group by avon;",YES,aggr-attribute
"WITH  UniquePos AS (SELECT  DISTINCT [time],  [LAT],  [LON] FROM  [1059].[STATS_VIEW]), Numbered AS (SELECT  [time] as [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [Time] ASC) AS [Row] FROM  UniquePos) ,  Paired AS (SELECT  a.[DateTime] AS [DateTime] ,  DATEDIFF(second,  a.[DateTime],  b.[DateTime]) AS [Elapsed (s)] ,  a.[LAT] AS [lat1deg] ,  a.[LON] AS [lon1deg] ,  b.[LAT] AS [lat2deg] ,  b.[LON] AS [lon2deg] ,  a.[LAT] * PI() / 180 AS [lat1] ,  b.[LAT] * PI() / 180  AS [lat2] ,  (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat] ,  (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] FROM  Numbered a JOIN  Numbered b ON a.[Row]+1 = b.[Row]) ,  Trig AS (SELECT  * ,  POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val FROM  Paired) ,  Distance AS (SELECT  * ,  6378100 * 2 * atn2(sqrt(val),  sqrt(1-val)) AS [Distance (m)] FROM  Trig) SELECT  * ,  [Distance (m)] / NULLIF([Elapsed (s)], 0) AS [Velocity (m/s)] FROM  Distance","WITH UniquePos AS (
    SELECT DISTINCT [time], [LAT], [LON] 
    FROM [1059].[STATS_VIEW]
), 
Numbered AS (
    SELECT [time] AS [DateTime], 
           [LAT], 
           [LON], 
           ROW_NUMBER() OVER (ORDER BY [Time] ASC) AS [Row] 
    FROM UniquePos
), 
Paired AS (
    SELECT a.[DateTime] AS [DateTime], 
           DATEDIFF(second, a.[DateTime], b.[DateTime]) AS [Elapsed (s)], 
           a.[LAT] AS [lat1deg], 
           a.[LON] AS [lon1deg], 
           b.[LAT] AS [lat2deg], 
           b.[LON] AS [lon2deg], 
           a.[LAT] * PI() / 180 AS [lat1], 
           b.[LAT] * PI() / 180 AS [lat2], 
           (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat], 
           (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] 
    FROM Numbered a 
    JOIN Numbered b ON a.[Row] + 1 = b.[Row]
), 
Trig AS (
    SELECT *, 
           POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val 
    FROM Paired
), 
Distance AS (
    SELECT *, 
           6378100 * 2 * atn2(sqrt(val), sqrt(1-val)) AS [Distance (m)] 
    FROM Trig
)
SELECT *, 
       [Distance (m)] / NULLIF([Elapsed (s)], 0) AS [Velocity (m/s)] 
FROM Distance
HAVING COUNT([Distance (m)]) > 10;  ",YES,aggr-having
"SELECT  DISTINCT CASE WHEN PATINDEX('%[0-9]%',  [protein]) = 1 -- first char is number AND  CHARINDEX(', ',  [protein]) = 0 -- AND  NO comma present THEN [protein] ELSE SUBSTRING([protein], PATINDEX('%[0-9]%',  [protein]),  -- start at first number CHARINDEX(', ',  [protein])-PATINDEX('%[0-9]%',  [protein])) -- length END AS [protein] ,  [tot indep spectra] FROM  [412].[C1_TCAfile176_1.txt]","SELECT  DISTINCT CASE WHEN PATINDEX('%[0-9]%',  [protein]) = 1 -- first char is number AND  CHARINDEX(', ',  [protein]) = 0 -- AND  NO comma present THEN [protein] ELSE SUBSTRING([protein], PATINDEX('%[0-9]%',  [protein]),  -- start at first number CHARINDEX(', ',  [protein])-PATINDEX('%[0-9]%',  [protein])) -- length END AS [protein] ,  [tot indep spectra] FROM  [412].[C1_TCAfile176_1.txt]",NO,NO Error
SELECT  * FROM  [1123].[table_Table S14.csv],"SELECT 
    AVG([SomeColumn]) AS AvgValue, -- Using AVG() without proper context
    *  -- Including all columns without a GROUP BY clause
FROM 
    [1123].[table_Table S14.csv];",YES,aggr-attribute
"select [crystals?],  cleaved,  [Protein Code-1] from [xstal_tracker.csv] x left join proteins_cleaved_pdb p on (p.ssgcidid = x.[Protein Code-1]) where [Initial trials set up] < '08-01-2011' and cleaved is null","SELECT 
    x.[crystals?],  
    z.cleaved,  
    x.[Protein Code-1] 
FROM 
    [xstal_tracker.csv] x 
LEFT JOIN 
    proteins_cleaved_pdb p 
ON 
    (p.ssgcidid = x.[Protein Code-1])
WHERE 
    y.[Initial trials set up] < '08-01-2011' 
    AND z.cleaved IS NULL;",YES,alias-undefined
"SELECT chr as seqname, 'methratio' as source, 'CpG' as feature, pos as start, pos + 1 as [end], cast(ratio as float) as score, strand, '.' as frame, '.' as attribute","SELECT chr as seqname, 'methratio' as source, 'CpG' as feature, pos as start, pos + 1 as [end], cast(ratio as float) as score, strand, '.' as frame, '.' as attribute",NO,NO Error
"select fullname,  conf_id,  organizer_type,  count(*) as c from [1143].tbl_organizer y group by fullname,  conf_id,  organizer_type having count(*) >= 2","SELECT 
    fullname, 
    conf_id, 
    organizer_type, 
    count(*) AS c, 
    y.date_created  
FROM 
    [1143].tbl_organizer y 
GROUP BY 
    fullname, 
    conf_id, 
    organizer_type 
HAVING 
    count(*) >= 2;",YES,aggr-attribute
SELECT  * FROM  [1123].[MgoTophat_coverage_CDS_summ_cv] Where cv > 1,SELECT  * FROM  [1123].[MgoTophat_coverage_CDS_summ_cv] Where cv > 1,NO,NO Error
"SELECT CGI_ID, GOslim_bin, aspect FROM  [1123].[Cgigas-DEGlist-sql]deg left join [1123].[qDOD_Cgigas_GOslim_DISTINCT]sl on deg.baseMean=sl.CGI_ID where aspect like 'P'","SELECT CGI_ID, GOslim_bin, aspect 
FROM [1123].[Cgigas-DEGlist-sql] AS deg 
LEFT JOIN [1123].[qDOD_Cgigas_GOslim_DISTINCT] AS sl 
ON deg.CGI_ID = sl.CGI_ID 
WHERE aspect LIKE 'P'",YES,alias-ambiguous
